GARDEN RECYCLING,ACORN,KERBSIDE COLLECTED,,,,,,,KERBSIDE COLLECTED,,,,,
,Car Batteries,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Engine Oil ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other potentially hazardous ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Identifiable clinical ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,,3.51,2.08,1.97,0.00,1.30,2.25
,KG/HH/WK PER ACORN,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED,,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED
,BLUE BIN RECYCLABLE,1.33%,0.00%,0.00%,0.00%,0.12%,0.71%,,0.05,0.00,0.00,0.00,0.00,0.02
,COLLECTABLE BATTERIES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,FOOD BIN RECYCLABLE,0.10%,0.00%,0.43%,0.00%,0.08%,0.11%,,0.00,0.00,0.01,0.00,0.00,0.00
,GARDEN BIN RECYCLABLE,89.18%,100.00%,94.05%,0.00%,68.93%,91.12%,,3.13,2.08,1.85,0.00,0.90,2.05
,TOTAL RECYCLABLE,90.60%,100.00%,94.49%,0.00%,69.12%,91.94%,,3.18,2.08,1.86,0.00,0.90,2.07
,KG/HH/WK PER ACORN,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED,,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED
,PAPER,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,CARD & CARDBOARD,0.05%,0.00%,0.00%,0.00%,0.05%,0.03%,,0.00,0.00,0.00,0.00,0.00,0.00
,PLASTIC FILM,0.40%,0.00%,0.63%,0.00%,0.01%,0.28%,,0.01,0.00,0.01,0.00,0.00,0.01
,DENSE PLASTIC,0.04%,0.00%,0.67%,0.00%,0.22%,0.11%,,0.00,0.00,0.01,0.00,0.00,0.00
,TEXTILES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,MISC COMBUSTIBLES,0.15%,0.00%,0.00%,0.00%,24.79%,2.08%,,0.01,0.00,0.00,0.00,0.32,0.05
,MISC NON-COMBUSTIBLES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,GLASS,1.21%,0.00%,0.00%,0.00%,0.00%,0.64%,,0.04,0.00,0.00,0.00,0.00,0.01
,FERROUS METAL,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,NON-FERROUS METAL,0.02%,0.00%,0.00%,0.00%,0.04%,0.02%,,0.00,0.00,0.00,0.00,0.00,0.00
,ORGANIC NON-CATERING,98.01%,100.00%,98.27%,0.00%,74.80%,96.73%,,3.44,2.08,1.94,0.00,0.97,2.17
,ORGANIC CATERING,0.10%,0.00%,0.43%,0.00%,0.08%,0.11%,,0.00,0.00,0.01,0.00,0.00,0.00
,FINES,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,HHW,0.00%,0.00%,0.00%,#DIV/0!,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,WEEE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
