Contractors,BAU,17,32,16,48%,,,Contractors/Agency staff,,,390,395,5,1%,,248,202,81%,(248),-30434%,,,£50k ICT,,,,,,,,,,,,,,,,,,,,Impact of recruitment freeze,,,,
Other Staff Costs,BAU,54,77,23,30%,,,Other Staff related,,,776,900,124,14%,,939,792,84%,(938),-111319%,,,"Recruitment £83k, Training £168k (some project related???), lower salary recharges",,,,,,,,,,,,,,,,,,,,"Lower training (60k -31%), T&S (29k -25% and Recruitment (19k -39%)",,,,
Public Access,BAU,110,154,44,29%,,,Public Access,,,"1,498","2,074",576,28%,,"1,700","1,337",79%,"(1,699)",-215978%,,,,,,,,,,,,,,,,,,,,,,,"Reduced digitisation (£63k-77%) as work now in Invest Bids, Public Access Subsidies down- Online (£60k -16%) and Pub. Libraries (75k - 38%), also lower spend on PSI Website (17k- 9%)",,,,
Marketing & Communications,BAU,10,29,18,64%,,,Marketing ,,,152,269,117,43%,,397,373,94%,(396),-42147%,,,Marketing freeze,,,,,,,,,,,,,,,,,,,,Impact of marketing freeze,,,,
Collection Care,BAU,49,48,(2),-4%,,,Collection Care,,,582,"1,005",423,42%,,570,431,76%,(570),-75346%,,,Boxes to box currently unboxed materials (£30k),,,,,,,,,,,,,,,,,,,,NDAD ceased 2010 £330k saving,,,,
Property & Infrastructure,BAU,694,533,(161),-30%,,,Property & Infrastructure,,,"7,487","6,825",(662),-10%,,"6,324","4,593",73%,"(6,324)",-870721%,,,"£133k O&S: £80k extra furniture costs for new desks (standard size), £89k Multi-functional devices, less utility savings due to introduction of Power perfector (£58), St Clements House (-£13k)",,,,,,,,,,,,,,,,,,,,"Higher spend in Minor Maint. (£369k -122%), Utilities (102k -19%),Accom (39k -4%) & Fac. Mgmt (£43k -8%), but lower costs re: Petty France now closed (194k -84%), Op  Leases now in IT Maint & Telecoms (194k -91%)",,,,
IT & Telecoms,BAU,26,78,52,67%,,,IT & Telecoms,,,"1,616","1,721",105,6%,,"2,119","1,329",63%,"(2,118)",-337799%,,,£265k - 1911 sale - ITU maintenance (unbudgeted),,,,,,,,,,,,,,,,,,,,IT Maint & Telecoms higher in part as trsfr from Op Leases & also from higher project-related chgs (303k -144%),,,,
Admin / Other,BAU,51,123,73,59%,,,Admin / Other,,,"1,464",926,72,31%,,"1,007",843,84%,"(1,006)",-120142%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital,BAU,0,0,--,#DIV/0!,,,Capital,,,76,196,--,#DIV/0!,,170,170,100%,(169),-16900%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51,121,71,58%,,,Admin / Other,,,"1,540","1,121",(419),-37%,,"1,177","1,013",86%,"(1,176)",-136610%,,,"General stationary (£33k, venue hire £40k, directors reserves, subscriptions (-£22k)",,,,,,,,,,,,,,,,,,,,,,,,
,,"1,010","1,071",61,6%,,,Total Non Pay,,,"14,041","14,310",268,2%,,"13,475","10,070",75%,"(13,469)",-1802242%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,749","2,904",155,5%,,,Total Business As Usual Costs,,,"35,695","36,186",491,1%,,"35,795","27,094",76%,"(35,788)",-4728091%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Sales,Funded,0,0,--,,,,Externally Funded Projects,,,0,0,--,,,0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Staff Costs,Funded,101,94,(7),,,,Externally Funded Projects,,,854,890,3,,,923,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Staff Costs,Funded,1,1,(0),,,,Externally Funded Projects,,,29,22,2,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contractors,Funded,2,3,1,,,,Externally Funded Projects,,,6,135,1,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access,Funded,0,0,--,,,,Externally Funded Projects,,,0,578,--,,,0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing & Communications,Funded,0,0,--,,,,Externally Funded Projects,,,0,0,--,,,0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection Care,Funded,0,0,--,,,,Externally Funded Projects,,,18,57,(1),,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property & Infrastructure,Funded,0,0,--,,,,Externally Funded Projects,,,0,0,--,,,0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT & Telecoms,Funded,71,5,(66),,,,Externally Funded Projects,,,331,663,(43),,,382,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin / Other,Funded,16,2,(14),,,,Externally Funded Projects,,,54,5,(11),,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital,Funded,0,0,--,,,,Externally Funded Projects,,,0,146,--,,,0,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,191,104,(87),-83%,,,Externally Funded Projects,,,"1,291","2,497","1,205",48%,,"1,379",935,68%,"(1,379)",-203492%,,,,,,,,,,,,,,,,,,,,,,,Lower spend on Digital continuity & Civil Pages as they wind down,,,,
Costs,Inv Bids,251,274,23,8%,,,Investment Bids,,,"6,675","8,482","1,807",21%,,"6,840","6,223",91%,"(6,839)",-751731%,,,,,,,,,,,,,,,,,,,,,,,Lower Resource Discovery & Estates spend. Roof is major 2011-12 investment which is due to commence Q3,,,,
Contingency,BAU,0,0,--,0%,,,Contingency,,,0,0,--,0%,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,,"Contingency  £1,088k + £50k directors reserve",,,,,,,,,,,,,,,,,,,,,,,,
,,442,378,(64),-17%,,,Investment & Contingency Costs,,,"7,967","10,979","3,012",27%,,"8,220","7,158",87%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,"44,669","2,298",5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,419","2,528",109,4%,,,Total Cash Expenditure (Net),,,"35,744","38,301","2,557",7%,,"35,738","27,869",78%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total Cash Funding ,,,"5,030","5,692",,,,"39,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,BAU,757,443,(314),-71%,,,Non Cash (Incl. Depreciation),,,"40,774","43,992",(259),-20%,,"5,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121F,BAU,(347),0,347,#DIV/0!,,,Non Cash (Incl. Depreciation),,,(347),0,347,#DIV/0!,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,BAU,411,443,32,7%,,,Depreciation (ring fenced),,,"5,030","5,692",662,12%,,"5,660","4,421",78%,"(5,659)",-724593%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2,830","2,972",142,5%,,,Total Expenditure (Net),,,"40,774","43,992","3,218",7%,,"41,398","32,289",78%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
