24-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextStep Progression - IFF Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q32b. Can you tell me what impact, or what difference, you think the adviser made?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Those whose advisor played a part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fieldwork Month,,,,,,,Quarter,,,Intervention Type,,Service Type,,,Age,,,,Prime Contractor,,,,,,,,,,,,,Gender,,Employment status,,,,Prior quals,,Ethnicity,,Disability,,Fieldwork Month,,,,,,,NEET,,,Longit
,16%,19%,11%,15%,17%,16%,15%,12%,19%,14%,14%,21%,15%,21%,21%,15%,12%,14%,17%,17%,21%,18%,17%,11%,12%,22%,15%,10%,13%,8%,19%,15%,15%,14%,19%,19%,18%,14%,19%,12%,17%,16%,16%,14%,16%,19%,11%,15%,17%,16%,15%,12%,11%,12%,12%,17%
Advisor was supportive,54,*27,7,*1,2,3,2,*12,*27,*10,17,7,47,2,5,47,4,10,31,10,7,*10,1,3,0,4,1,*5,9,4,3,5,3,21,20,16,4,35,0,7,*44,39,15,4,47,*27,7,*1,2,3,2,*12,3,3,7,3
,4%,7%,4%,1%,1%,3%,1%,9%,7%,2%,4%,4%,5%,4%,3%,5%,4%,4%,5%,5%,4%,8%,2%,3%,0%,5%,2%,13%,7%,5%,3%,4%,2%,4%,4%,5%,7%,4%,0%,2%,6%,5%,3%,4%,5%,7%,4%,1%,1%,3%,1%,9%,2%,2%,3%,2%
Helped me with studying / returning to study,130,*57,16,*8,13,12,14,10,*57,37,36,*28,*102,*9,20,*102,7,32,72,19,*28,10,9,10,3,6,3,8,13,5,14,14,8,54,52,32,*10,82,6,27,87,78,52,12,102,*57,16,*8,13,12,14,10,14,16,20,16
,11%,14%,11%,6%,9%,9%,11%,8%,14%,9%,9%,15%,10%,17%,14%,10%,9%,12%,11%,9%,15%,9%,12%,12%,4%,8%,4%,20%,10%,7%,17%,12%,7%,10%,12%,11%,19%,10%,10%,9%,11%,10%,12%,9%,11%,14%,11%,6%,9%,9%,11%,8%,8%,9%,8%,12%
Good advice (unspec.),76,*34,*3,*15,12,8,3,*1,*34,31,*12,15,61,4,11,61,5,12,45,14,15,3,*10,6,6,6,1,3,4,9,*-,6,6,*47,24,23,2,49,2,22,51,49,27,5,*68,*34,*3,*15,12,8,3,*1,6,6,10,3
,6%,8%,2%,11%,9%,6%,2%,1%,8%,7%,3%,8%,6%,8%,8%,6%,6%,4%,7%,7%,8%,2%,13%,8%,10%,8%,2%,7%,3%,11%,0%,5%,6%,9%,5%,8%,4%,6%,3%,8%,7%,6%,6%,4%,7%,8%,2%,11%,9%,6%,2%,1%,3%,3%,4%,3%
Good impact (unspec.),45,*24,3,6,5,6,*-,1,*24,14,*7,7,38,2,5,38,4,9,22,10,7,4,3,1,3,5,4,3,4,3,1,3,6,*27,17,*20,*,25,0,*16,29,35,11,6,39,*24,3,6,5,6,*-,1,5,5,7,*-
,4%,6%,2%,4%,4%,5%,0%,1%,6%,3%,2%,4%,4%,3%,4%,4%,5%,3%,3%,5%,4%,3%,3%,2%,4%,7%,7%,7%,3%,3%,2%,2%,6%,5%,4%,7%,1%,3%,0%,6%,4%,4%,2%,5%,4%,6%,2%,4%,4%,5%,0%,1%,3%,3%,3%,0%
None / no impact,49,16,4,8,*10,4,3,4,16,22,11,7,42,1,6,42,6,6,26,10,7,*11,3,1,1,0,4,0,4,4,4,9,1,24,18,16,*5,*26,3,14,32,33,16,8,39,16,4,8,*10,4,3,4,6,8,9,3
,4%,4%,3%,5%,8%,3%,2%,3%,4%,5%,3%,4%,4%,2%,4%,4%,7%,2%,4%,5%,4%,10%,3%,1%,2%,0%,7%,0%,3%,5%,5%,8%,1%,5%,4%,5%,9%,3%,5%,5%,4%,4%,4%,6%,4%,4%,3%,5%,8%,3%,2%,3%,4%,4%,3%,2%
Other,127,*6,*24,*23,*6,19,*25,*24,*6,53,*68,*27,*100,6,*21,*100,*15,26,63,22,*27,8,8,5,6,5,6,1,15,10,11,15,9,*40,38,26,4,86,*11,33,*66,*69,*58,17,*82,*6,*24,*23,*6,19,*25,*24,15,16,31,*27
,10%,1%,16%,16%,5%,15%,19%,19%,1%,12%,18%,14%,10%,12%,15%,10%,18%,10%,10%,11%,14%,6%,10%,6%,10%,7%,11%,3%,12%,13%,14%,13%,8%,8%,8%,9%,8%,11%,18%,12%,9%,9%,14%,13%,9%,1%,16%,16%,5%,15%,19%,19%,9%,9%,12%,20%
Don't know,50,20,9,9,*-,2,4,7,20,18,13,7,43,1,6,43,6,*20,*18,6,7,5,3,1,3,5,1,0,6,4,4,4,8,20,20,10,1,37,3,*19,26,36,14,5,41,20,9,9,*-,2,4,7,*14,*14,*21,4
,4%,5%,6%,6%,0%,2%,3%,5%,5%,4%,3%,4%,4%,2%,4%,4%,8%,7%,3%,3%,4%,4%,3%,2%,4%,7%,2%,0%,5%,5%,5%,3%,7%,4%,5%,3%,1%,5%,4%,7%,3%,5%,3%,4%,4%,5%,6%,6%,0%,2%,3%,5%,8%,8%,8%,3%
Columns Tested: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
