Table C1,,,,,,,,,,,,,,,,Index
"Receipts1, disposals and outstanding2 cases in the Crown Court in England and Wales, annually 2000 - 2016, quarterly Q1 2009 - Q1 2017",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,Quarter,All Cases,,,For trial (Triable-either-way)3,,,For trial (Indictable Only)4,,,Committed for sentence,,,Appeals against Mags' decisions,,
2012,,"133,371","138,313","39,586","48,502","52,007","17,282","32,666","33,426","14,868","39,579","40,107","4,594","12,624","12,773","2,842"
20135,,"139,922","130,382","49,227","56,351","48,919","24,820","35,779","33,840","16,962","36,167","35,783","4,782","11,625","11,840","2,663"
2014,,"138,116","132,327","55,116","61,714","56,529","30,062","33,300","32,878","17,435","31,837","31,858","4,699","11,265","11,062","2,920"
2015,,"129,998","134,359","50,876","57,150","60,341","27,022","30,449","31,868","16,153","31,076","30,802","4,811","11,323","11,348","2,890"
2016 (r),,"117,221","126,284","42,149","46,690","53,414","20,546","27,950","30,274","14,019","32,150","31,954","4,875","10,431","10,642","2,709"
2009,Q1 ,"37,138","36,710","45,002","14,922","14,353","21,244","8,795","8,852","15,795","10,029","10,156","5,047","3,392","3,349","2,916"
,Q2 ,"37,311","35,410","46,675","15,249","14,129","22,316","8,722","8,300","16,191","9,810","9,500","5,206","3,530","3,481","2,962"
,Q3 ,"39,073","37,746","47,922","16,738","15,622","23,454","8,873","8,605","16,465","9,794","9,917","4,978","3,668","3,602","3,025"
,Q4 ,"37,189","37,295","47,713","15,929","15,736","23,655","8,479","8,714","16,243","9,030","9,295","4,592","3,751","3,550","3,223"
2010,Q1,"38,483","38,176","48,879","16,789","16,489","24,275","8,267","8,770","15,972","9,924","9,404","5,376","3,503","3,513","3,256"
,Q2,"38,326","37,458","49,615","16,067","16,278","24,048","8,788","8,172","16,586","10,068","9,490","5,830","3,403","3,518","3,151"
,Q3,"38,949","39,728","48,671","15,982","16,850","23,229","8,819","8,881","16,539","10,659","10,452","5,818","3,489","3,545","3,085"
,Q4,"37,033","38,397","47,085","14,851","15,803","22,239","8,333","8,744","16,101","10,403","10,376","5,692","3,446","3,474","3,053"
2011,Q1,"38,148","39,930","45,150","15,031","16,305","20,963","8,418","9,078","15,425","11,306","11,129","5,727","3,393","3,418","3,035"
,Q2,"35,971","35,868","45,118","14,423","14,355","21,006","8,055","7,956","15,525","10,307","10,233","5,690","3,186","3,324","2,897"
,Q3,"38,974","37,915","46,028","15,721","15,238","21,468","8,590","8,176","15,926","11,327","11,069","5,828","3,336","3,432","2,806"
,Q4,"35,570","36,443","45,030","13,837","14,427","20,852","7,991","8,266","15,648","10,287","10,464","5,546","3,455","3,286","2,984"
2012,Q1,"35,111","37,868","42,123","13,027","15,120","18,729","8,157","8,507","15,289","10,713","10,874","5,274","3,214","3,367","2,831"
,Q2,"32,179","33,730","40,451","11,684","12,919","17,469","7,720","7,968","15,040","9,726","9,717","5,183","3,049","3,126","2,759"
,Q3,"33,268","33,773","39,840","11,437","12,126","16,779","8,575","8,281","15,326","10,049","10,156","4,965","3,207","3,210","2,770"
,Q4,"32,813","32,942","39,586","12,354","11,842","17,282","8,214","8,670","14,868","9,091","9,360","4,594","3,154","3,070","2,842"
2013,Q1,"31,883","32,471","39,489","11,398","11,868","17,000","8,303","8,366","14,983","9,331","9,235","4,771","2,851","3,002","2,735"
,Q25,"36,058","32,238","43,196","14,474","11,609","19,845","9,346","8,500","15,821","9,395","9,145","4,946","2,843","2,984","2,584"
,Q3 ,"36,693","33,209","46,545","15,408","12,667","22,563","9,171","8,584","16,403","9,134","8,976","4,998","2,980","2,982","2,581"
,Q4,"35,288","32,464","49,227","15,071","12,775","24,820","8,959","8,390","16,962","8,307","8,427","4,782","2,951","2,872","2,663"
2014,Q1,"35,101","33,076","51,828","15,420","13,725","26,705","8,450","8,122","17,366","8,468","8,472","5,048","2,763","2,757","2,709"
,Q2 ,"34,320","32,235","53,840","15,131","13,584","28,227","8,483","8,108","17,738","7,953","7,899","5,039","2,753","2,644","2,836"
,Q3 ,"34,838","33,732","54,772","15,721","14,652","29,254","8,401","8,355","17,767","7,826","7,921","4,829","2,890","2,804","2,922"
,Q4 ,"33,857","33,284","55,116","15,442","14,568","30,062","7,966","8,293","17,435","7,590","7,566","4,699","2,859","2,857","2,920"
2015,Q1,"33,780","34,824","54,719","15,236","15,726","29,895","8,015","8,341","17,302","7,680","7,864","4,642","2,849","2,893","2,880"
,Q2,"31,904","33,331","53,098","14,025","15,134","28,709","7,414","7,992","16,701","7,588","7,384","4,757","2,877","2,821","2,931"
,Q3,"32,047","32,735","52,235","13,986","14,594","28,037","7,349","7,690","16,348","7,959","7,705","4,911","2,753","2,746","2,939"
,Q4,"32,267","33,469","50,876","13,903","14,887","27,022","7,671","7,845","16,153","7,849","7,849","4,811","2,844","2,888","2,890"
2016,Q1 (r),"30,186","33,721","47,972","12,466","15,166","24,616","7,137","7,910","15,594","8,071","8,021","4,956","2,512","2,624","2,806"
,Q2 (r),"29,045","32,487","44,460","11,358","13,724","22,227","7,064","7,914","14,739","8,063","8,145","4,805","2,560","2,704","2,689"
,Q3 (r),"29,624","31,191","42,820","11,698","12,807","21,124","6,861","7,348","14,249","8,334","8,271","4,791","2,731","2,765","2,656"
,Q4 (r),"28,366","28,885","42,149","11,168","11,717","20,546","6,888","7,102","14,019","7,682","7,517","4,875","2,628","2,549","2,709"
2017,Q1 (p),"29,690","31,697","40,013","11,639","12,923","19,260","7,219","7,603","13,632","8,239","8,387","4,621","2,593","2,784","2,500"
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
"1) Receipts include cases sent direct from magistrates' courts, bench warrants executed (trial and sentence only) and cases transferred in, less cases transferred out.",,,,,,,,,,,,,,,,
"2) Outstanding cases at end of period. The number of cases outstanding at the end of each period may not be equal to the sum of cases outstanding at the start of the period and those received during the period , minus cases completed. This is due to the timing of data extraction and counting rules applied to this data.",,,,,,,,,,,,,,,,
3) Includes committed for trials prior to the national abolition of committal hearings on 28th May 2013. ,,,,,,,,,,,,,,,,
4) Sent for trial cases were introduced nationally for indictable only cases on the 15th January 2001 under section 51 of the Crime and Disorder Act 1998.  Prior to this figures are from the pilot programme.,,,,,,,,,,,,,,,,
5) Committal proceedings were abolished nationally on 28th May 2013. Triable-either-way cases are now sent rather than committed for trial.,,,,,,,,,,,,,,,,
