Candidates with Applications by Area,,,,,,,,,,,,,,,,,,,,
South West,870,740,-130,-14.9%,,,,South West,,"7,720",,,"7,630",,-80,,,-1.0%,,
Other and N/A,160,210,40,24.4%,,,,Other and N/A,,"1,330",,,"2,020",,690,,,52.0%,,
Total,"11,140","8,590","-2,560",,,,,Total,,"95,240",,,"96,700",,"1,460",,,,,
Age 25+ Candidates with Applications by Area,,,,,,,,,,,,,,,,,,,,
,June,,,,,,,,,Year to Date (YTD),,,,,,,,,,
Area,2014/15,2015/16,Difference,% change 2014/15 to 2015/16,,,,Area,,2014/15,,,2015/16,,Difference,,,% change 2014/15 to 2015/16,,
North East & Y&H,320,250,-70,-21.9%,,,,North East & Y&H,,"3,810",,,"4,650",,850,,,22.3%,,
North West,330,300,-40,-12.0%,,,,North West,,"3,710",,,"4,250",,540,,,14.6%,,
Midlands,750,970,220,29.3%,,,,Midlands,,"8,490",,,"12,800",,"4,310",,,50.8%,,
London,500,860,360,72.1%,,,,London,,"5,800",,,"8,750",,"2,950",,,50.9%,,
South East,360,540,180,50.3%,,,,South East,,"3,640",,,"5,540",,"1,900",,,52.3%,,
South West,270,430,160,58.4%,,,,South West,,"2,900",,,"3,680",,780,,,26.9%,,
Other and N/A,50,100,50,94.3%,,,,Other and N/A,,500,,,"1,010",,500,,,99.6%,,
Total,"2,590","3,450",860,,,,,Total,,"28,840",,,"40,680",,"11,840",,,,,
Notes,,,,,,,,,,,,,,,,,,,,
1) Values of 5 and over have been rounded to the nearest 10.,,,,,,,,,,,,,,,,,,,,
2) '-' Indicates a base value of less than 5.,,,,,,,,,,,,,,,,,,,,
3) The Apprenticeship vacancy on-line system went live in Dec 08 which is why data for 2008/09 Q1 is not available.,,,,,,,,,,,,,,,,,,,,
4) Candidates can change and correct their details at any time. Occasionally this can result in small changes to the historical data.,,,,,,,,,,,,,,,,,,,,
5) 25+ includes those with no age.,,,,,,,,,,,,,,,,,,,,
6) Age represents candidates age at registration.,,,,,,,,,,,,,,,,,,,,
7) A Candidates’ activation is possible after registration date and that recent quarters may be revised as more up-to-date data is published.,,,,,,,,,,,,,,,,,,,,
8) Number of applications made to vacancies which are managed entirely via Apprenticeship vacancies. This does not ,,,,,,,,,,,,,,,,,,,,
include applications made to vacancies which are advertised on an employer's own website (where a candidate has,,,,,,,,,,,,,,,,,,,,
clicked through onto the employer's website via Apprenticeship vacancies).,,,,,,,,,,,,,,,,,,,,
