Trust Code,Trust Name,Completed Organisational Survey,Performs CEA,Performs AAA Repairs,Performs Lower Limb Bypass,Performs Lower Limb Angioplasty/Stent,Performs Major Lower Limb Amputations
RP5,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RPA,Medway NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RQ8,Mid Essex Hospital Services NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RQW,Princess Alexandra Hospital NHS Trust,No,Yes,Yes,Yes,Yes,Yes
RR1,Heart of England NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RR7,Gateshead Health NHS Foundation Trust,No,Yes,No,Yes,Yes,Yes
RR8,Leeds Teaching Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RRK,University Hospitals Birmingham NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RRV,University College London Hospitals NHS Foundation Trust,No,Yes,No,Yes,Yes,No
RT3,Royal Brompton & Harefield NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,No
RTD,Newcastle upon Tyne Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RTE,Gloucestershire Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RTG,Derby Teaching Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RTH,Oxford University Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,No,Yes,Yes,Yes,Yes,Yes
RTR,South Tees Hospitals NHS Foundation Trust,No,Yes,Yes,Yes,Yes,Yes
RVJ,North Bristol NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RVV,East Kent Hospitals University NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RW6,Pennine Acute Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWA,Hull and East Yorkshire Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWD,United Lincolnshire Hospitals NHS Trust,No,Yes,Yes,Yes,Yes,Yes
RWE,University Hospitals of Leicester NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWG,West Hertfordshire Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWH,East and North Hertfordshire NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWP,Worcestershire Acute Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RWY,Calderdale and Huddersfield NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RX1,Nottingham University Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RXF,Mid Yorkshire Hospitals NHS Trust,No,No,No,No,Yes,No
RXH,Brighton and Sussex University Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RXP,County Durham and Darlington NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RXR,East Lancashire Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RXW,Shrewsbury and Telford Hospital NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RYJ,Imperial College Healthcare NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
SA999,NHS Ayrshire & Arran,Yes,Yes,Yes,Yes,Yes,Yes
SF999,NHS Fife,Yes,Yes,No,Yes,Yes,Yes
SG999,NHS Greater Glasgow and Clyde,Yes,Yes,Yes,Yes,Yes,Yes
SH999,NHS Highland,Yes,Yes,Yes,Yes,Yes,Yes
SL999,NHS Lanarkshire,Yes,Yes,Yes,Yes,Yes,Yes
SN999,NHS Grampian,Yes,Yes,Yes,Yes,Yes,Yes
SS999,NHS Lothian,Yes,Yes,Yes,Yes,Yes,Yes
ST999,NHS Tayside,Yes,Yes,Yes,Yes,Yes,Yes
SV999,NHS Forth Valley,No,Yes,Yes,Yes,Yes,Yes
SY999,NHS Dumfries and Galloway,No,Yes,No,Yes,Yes,Yes
