Table 6.5: Civil representation costs met by LAA (value £'000),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Value (£'000) of civil representation (full licensed representation) certificates completed, 2008-09 to 2016-17, with quarterly data for Apr-Jun 2011 to Jul-Sep 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Family,,,,,,,,,,,Other Non Family,,,,,,,,,,,,,,
2012-13,Apr-Jun (r),13,"12,935","8,405",14,"1,126","9,713","46,890","91,899","170,996",918,"1,434",543,"3,963",744,311,336,0,270,35,"6,970","1,274",864,"1,113",11,"16,432","189,781"
,Jul-Sep (r),5,"11,567","7,332",8,"1,190","8,443","43,695","98,376","170,615","1,195","1,358",377,"3,361",663,184,252,0,76,6,"5,962",947,102,"1,265",74,"13,267","186,435"
,Oct-Dec (r),2,"11,223","7,112",4,979,"9,457","41,658","109,415","179,851","1,356","1,231",677,"3,224",604,407,262,0,74,55,"6,060",393,359,"1,396",100,"13,610","196,048"
,Jan-Mar (r),9,"11,422","7,134",2,"1,040","8,338","42,697","107,865","178,508","1,093","1,719",362,"3,240",774,263,172,0,126,48,"6,001",388,45,"1,640",23,"13,081","194,401"
2013-14,Apr-Jun (r),10,"11,663","5,946",4,"1,184","7,622","40,355","113,106","179,889",884,"1,601",326,"2,729",545,98,123,0,110,36,"5,944",443,208,"1,360",23,"11,946","194,320"
,Jul-Sep (r),10,"9,190","6,139",2,"1,336","7,822","40,013","111,894","176,406",894,"1,174",635,"2,505",647,207,164,0,92,14,"6,259",406,268,"1,451",60,"12,707","191,181"
,Oct-Dec (r),7,"10,749","7,787",3,"1,039","7,257","38,075","123,403","188,320",403,"1,253",355,"3,088",576,191,146,0,131,20,"5,904",839,37,"1,214",0,"12,502","202,478"
,Jan-Mar (r),3,"10,622","5,145",0,"2,463","7,884","39,384","130,194","195,695",663,"2,379",786,"2,737",659,585,144,0,128,18,"5,940",404,65,"1,109",3,"12,578","211,315"
2014-15,Apr-Jun (r),1,"10,763","5,293",0,"1,127","9,350","36,501","117,105","180,140",872,"2,265",378,"3,158",644,71,177,0,63,57,"6,039",403,460,"1,005",1,"12,457","195,734"
,Jul-Sep (r),46,"9,984","5,018",0,"1,035","6,531","32,395","106,652","161,662",989,"1,876",506,"2,886",554,106,131,35,77,14,"6,313",301,156,"1,182",28,"12,289","176,816"
,Oct-Dec (r),61,"10,082","4,024",1,"1,008","6,297","30,492","97,989","149,954","1,158","1,843",496,"2,452",567,206,149,0,58,39,"6,077",348,194,"1,519",11,"12,115","165,070"
,Jan-Mar (r),0,"10,040","3,854",1,867,"5,927","24,888","96,043","141,620","1,216","2,036",448,"2,675",539,35,124,0,142,3,"5,313",430,61,"1,477",0,"11,246","156,119"
2015-16,Apr-Jun (r),12,"10,048","3,481",0,764,"7,201","24,483","99,057","145,048",812,"2,307",382,"2,304",439,33,120,0,60,31,"5,524",441,432,"1,250",7,"11,023","159,190"
,Jul-Sep (r),0,"9,121","3,650",0,676,"6,428","21,038","87,784","128,696","1,254","2,035",411,"1,801",493,77,41,1,14,30,"5,238",548,12,962,3,"9,631","141,616"
,Oct-Dec (r),0,"8,379","2,094",1,435,"6,154","17,275","87,283","121,622",739,"2,294",378,"1,794",483,139,40,0,43,11,"5,000",420,18,"1,159",0,"9,484","134,139"
,Jan-Mar (r),9,"8,720","2,756",0,551,"6,816","16,484","89,359","124,696","1,660","1,850",388,"5,928",473,32,162,0,27,0,"4,765",602,9,801,32,"13,220","141,427"
2016-17,Apr-Jun (r),0,"9,255","2,401",0,572,"6,966","16,342","95,941","131,478",982,"3,108",677,"1,406",455,75,48,0,72,3,"6,004",639,28,765,7,"10,179","145,746"
,Jul-Sep (r),0,"8,599","2,049",0,416,"5,606","13,148","99,211","129,027",882,"1,691",410,"1,466",510,21,47,0,9,2,"4,451",544,274,833,0,"8,567","140,168"
,Oct-Dec (r),0,"8,507","1,668",0,346,"6,617","12,515","92,796","122,451",891,"1,866",652,"1,867",330,137,78,0,39,1,"4,220","3,974",24,964,0,"12,285","137,493"
,Jan-Mar (r),0,"7,366","1,451",0,359,"6,955","12,581","99,505","128,218",920,"3,129",669,"1,470",649,34,56,10,35,1,"4,586",639,18,856,7,"9,032","141,299"
2017-18,Apr-Jun (r),8,"8,067","1,324",0,365,"8,275","12,190","112,397","142,624","1,034","2,337",549,"1,276",705,6,52,0,11,0,"4,730",688,0,"1,056",10,"9,083","155,078"
,Jul-Sep,0,"8,009","1,552",0,189,"7,677","11,545","108,719","137,691",820,"2,991",514,"1,848","1,578",67,44,0,22,0,"4,794",568,"1,445",687,18,"11,585","153,087"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Further breakdowns are available in the More detailed data file on: high cost case split, outcome, benefit type, Judicial review split and categories of evidence for Child abuse or domestic violence where supplied. Also within expenditure the split for solicitor, counsel and disbursement",,,,,,,,,,,,,,,,,,,,,,,,,,,
(r) Revised from previous published figures. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
