"Table 4.03: Arrests of persons where age unknown by sex, offence group and police force area: 2008/09 to 2012/13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,Females,,,,,,,,,,,,,Males and Females,,,,,,,,,,
,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total
,Kent,0,0,0,0,4,0,0,0,18,22,,,Kent,0,0,0,0,0,0,0,0,4,4,,Kent,0,0,0,0,4,0,0,0,22,26
,Lancashire,0,0,0,0,1,0,1,0,0,2,,,Lancashire,1,0,0,0,0,0,0,0,0,1,,Lancashire,1,0,0,0,1,0,1,0,0,3
,Leicestershire,1,1,0,0,3,0,0,0,29,34,,,Leicestershire,1,0,0,0,0,0,0,0,1,2,,Leicestershire,2,1,0,0,3,0,0,0,30,36
,Lincolnshire,0,0,1,0,3,0,4,0,21,29,,,Lincolnshire,0,0,0,0,3,0,0,0,1,4,,Lincolnshire,0,0,1,0,6,0,4,0,22,33
,"London, City of",2,0,0,0,3,0,0,0,0,5,,,"London, City of",0,0,0,0,0,0,0,0,0,0,,"London, City of",2,0,0,0,3,0,0,0,0,5
,Merseyside,0,0,0,0,0,0,0,0,2,2,,,Merseyside,0,0,0,0,0,0,0,0,0,0,,Merseyside,0,0,0,0,0,0,0,0,2,2
,Metropolitan Police,86,27,8,11,31,5,12,11,59,250,,,Metropolitan Police,12,1,0,0,15,3,2,1,9,43,,Metropolitan Police,98,28,8,11,46,8,14,12,68,293
,Norfolk,3,0,0,1,2,0,0,0,15,21,,,Norfolk,0,0,0,0,3,0,0,0,2,5,,Norfolk,3,0,0,1,5,0,0,0,17,26
,Northamptonshire,1,0,0,0,1,0,0,0,17,19,,,Northamptonshire,1,0,0,0,0,0,0,0,2,3,,Northamptonshire,2,0,0,0,1,0,0,0,19,22
,Northumbria,0,0,0,0,0,0,0,0,3,3,,,Northumbria,0,0,0,0,1,0,0,0,0,1,,Northumbria,0,0,0,0,1,0,0,0,3,4
,North Wales,1,0,0,0,0,0,0,0,0,1,,,North Wales,0,0,0,0,2,0,0,1,0,3,,North Wales,1,0,0,0,2,0,0,1,0,4
,North Yorkshire,3,0,0,0,0,2,0,2,0,7,,,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,North Yorkshire,3,0,0,0,0,2,0,2,0,7
,Nottinghamshire,1,0,0,0,0,0,0,0,18,19,,,Nottinghamshire,0,0,0,0,0,0,0,0,4,4,,Nottinghamshire,1,0,0,0,0,0,0,0,22,23
,South Wales,551,68,21,109,274,45,156,144,86,"1,454",,,South Wales,199,3,6,16,175,15,33,32,28,507,,South Wales,750,71,27,125,449,60,189,176,114,"1,961"
,South Yorkshire,1,0,0,0,1,1,2,1,2,8,,,South Yorkshire,0,0,0,0,0,0,0,0,0,0,,South Yorkshire,1,0,0,0,1,1,2,1,2,8
,Staffordshire,91,1,2,6,11,1,13,3,32,160,,,Staffordshire,18,0,0,0,5,1,5,0,2,31,,Staffordshire,109,1,2,6,16,2,18,3,34,191
,Suffolk,2,0,0,1,4,0,1,0,13,21,,,Suffolk,0,0,0,1,2,0,0,0,2,5,,Suffolk,2,0,0,2,6,0,1,0,15,26
,Surrey,0,0,0,0,0,0,0,0,0,0,,,Surrey,0,0,0,0,0,0,0,0,0,0,,Surrey,0,0,0,0,0,0,0,0,0,0
,Sussex,4,0,0,1,3,0,2,2,42,54,,,Sussex,5,0,0,0,0,0,0,0,13,18,,Sussex,9,0,0,1,3,0,2,2,55,72
,Thames Valley,4,1,0,1,3,0,5,1,99,114,,,Thames Valley,5,0,0,1,0,1,0,0,5,12,,Thames Valley,9,1,0,2,3,1,5,1,104,126
,Warwickshire,0,0,0,0,0,0,1,0,0,1,,,Warwickshire,0,0,0,0,0,0,0,0,0,0,,Warwickshire,0,0,0,0,0,0,1,0,0,1
,West Mercia,3,0,1,2,4,0,1,1,12,24,,,West Mercia,0,0,0,0,1,0,0,0,3,4,,West Mercia,3,0,1,2,5,0,1,1,15,28
,West Midlands,9,0,1,3,23,0,2,2,4,44,,,West Midlands,1,0,0,0,5,1,0,1,6,14,,West Midlands,10,0,1,3,28,1,2,3,10,58
,West Yorkshire,11,1,3,3,9,2,4,2,5,40,,,West Yorkshire,4,0,0,0,4,2,1,1,1,13,,West Yorkshire,15,1,3,3,13,4,5,3,6,53
,Wiltshire,3,0,0,0,0,0,0,0,0,3,,,Wiltshire,0,0,0,0,1,0,0,0,0,1,,Wiltshire,3,0,0,0,1,0,0,0,0,4
,Total,980,110,40,161,509,65,290,187,680,"3,022",,,Total,304,4,6,21,240,23,51,40,109,798,,Total,"1,284",114,46,182,749,88,341,227,789,"3,820"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009/10,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,2009/10,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,Avon & Somerset,0,0,0,0,0,0,0,0,0,0
,Bedfordshire,1,0,1,1,7,2,4,1,18,35,,,Bedfordshire,3,0,0,0,0,0,0,1,1,5,,Bedfordshire,4,0,1,1,7,2,4,2,19,40
,Cambridgeshire,5,1,0,0,1,0,0,2,11,20,,,Cambridgeshire,1,0,0,0,1,0,0,0,3,5,,Cambridgeshire,6,1,0,0,2,0,0,2,14,25
,Cheshire,0,0,0,0,0,0,0,0,2,2,,,Cheshire,0,0,0,0,0,0,0,0,0,0,,Cheshire,0,0,0,0,0,0,0,0,2,2
,Cleveland,95,0,1,8,7,0,26,8,31,176,,,Cleveland,23,0,0,1,2,0,3,0,4,33,,Cleveland,118,0,1,9,9,0,29,8,35,209
,Cumbria,34,1,3,3,12,0,7,5,1,66,,,Cumbria,10,0,0,0,2,0,1,0,0,13,,Cumbria,44,1,3,3,14,0,8,5,1,79
,Derbyshire,5,1,0,0,1,0,0,0,1,8,,,Derbyshire,0,0,0,1,1,0,0,0,1,3,,Derbyshire,5,1,0,1,2,0,0,0,2,11
,Devon & Cornwall,2,0,0,0,0,0,2,1,4,9,,,Devon & Cornwall,0,0,0,0,0,0,0,0,1,1,,Devon & Cornwall,2,0,0,0,0,0,2,1,5,10
,Dorset,2,2,1,0,3,2,3,1,1,15,,,Dorset,0,0,0,0,2,0,0,0,0,2,,Dorset,2,2,1,0,5,2,3,1,1,17
,Durham,2,1,0,0,1,1,1,0,2,8,,,Durham,1,0,0,0,1,0,1,1,0,4,,Durham,3,1,0,0,2,1,2,1,2,12
,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0
,Essex,6,5,0,0,3,0,1,1,6,22,,,Essex,1,0,0,0,2,0,0,0,2,5,,Essex,7,5,0,0,5,0,1,1,8,27
,Gloucestershire,15,1,0,1,10,3,1,2,6,39,,,Gloucestershire,12,0,0,0,9,4,0,1,4,30,,Gloucestershire,27,1,0,1,19,7,1,3,10,69
,Greater Manchester,11,0,0,0,47,0,3,1,3,65,,,Greater Manchester,2,0,0,0,3,0,0,1,2,8,,Greater Manchester,13,0,0,0,50,0,3,2,5,73
,Gwent,1,0,0,0,0,0,0,0,6,7,,,Gwent,0,0,0,0,1,0,0,0,0,1,,Gwent,1,0,0,0,1,0,0,0,6,8
,Hampshire,2,0,0,2,3,0,0,0,1,8,,,Hampshire,3,0,0,1,0,0,0,0,1,5,,Hampshire,5,0,0,3,3,0,0,0,2,13
,Hertfordshire,2,0,0,0,2,2,0,1,8,15,,,Hertfordshire,1,0,0,0,1,0,0,0,0,2,,Hertfordshire,3,0,0,0,3,2,0,1,8,17
,Humberside,0,1,0,0,3,0,1,0,12,17,,,Humberside,2,0,1,0,1,0,0,0,1,5,,Humberside,2,1,1,0,4,0,1,0,13,22
,Kent,2,0,0,0,1,2,0,2,13,20,,,Kent,0,0,0,0,1,0,0,0,3,4,,Kent,2,0,0,0,2,2,0,2,16,24
,Lancashire,0,0,0,0,0,0,0,0,0,0,,,Lancashire,0,0,0,0,1,0,0,0,0,1,,Lancashire,0,0,0,0,1,0,0,0,0,1
,Leicestershire,0,0,0,2,3,0,2,0,15,22,,,Leicestershire,0,0,0,0,0,0,1,2,0,3,,Leicestershire,0,0,0,2,3,0,3,2,15,25
,Lincolnshire,0,0,0,0,1,0,0,2,6,9,,,Lincolnshire,0,0,0,0,1,0,0,0,1,2,,Lincolnshire,0,0,0,0,2,0,0,2,7,11
,"London, City of",2,0,0,0,2,0,0,0,0,4,,,"London, City of",1,0,0,0,1,0,0,0,0,2,,"London, City of",3,0,0,0,3,0,0,0,0,6
,Merseyside,1,0,0,0,1,0,0,0,1,3,,,Merseyside,1,0,0,0,1,0,0,0,0,2,,Merseyside,2,0,0,0,2,0,0,0,1,5
,Metropolitan Police,67,8,5,8,27,5,15,12,86,233,,,Metropolitan Police,9,0,1,0,16,1,1,2,22,52,,Metropolitan Police,76,8,6,8,43,6,16,14,108,285
,Norfolk,3,0,0,1,0,0,1,0,7,12,,,Norfolk,0,0,0,0,1,0,3,0,1,5,,Norfolk,3,0,0,1,1,0,4,0,8,17
,Northamptonshire,1,0,0,2,0,0,0,0,9,12,,,Northamptonshire,1,0,0,0,0,0,0,0,1,2,,Northamptonshire,2,0,0,2,0,0,0,0,10,14
,Northumbria,0,0,0,0,0,0,0,0,0,0,,,Northumbria,0,0,0,0,1,0,0,0,0,1,,Northumbria,0,0,0,0,1,0,0,0,0,1
,North Wales,1,0,0,0,1,0,0,0,0,2,,,North Wales,0,0,0,0,0,0,0,0,0,0,,North Wales,1,0,0,0,1,0,0,0,0,2
,North Yorkshire,1,0,0,0,0,1,0,2,0,4,,,North Yorkshire,0,0,0,0,1,0,0,0,0,1,,North Yorkshire,1,0,0,0,1,1,0,2,0,5
,Nottinghamshire,1,0,0,0,0,0,0,0,12,13,,,Nottinghamshire,0,0,0,0,1,0,0,1,1,3,,Nottinghamshire,1,0,0,0,1,0,0,1,13,16
,South Wales,1,0,0,0,0,0,0,0,0,1,,,South Wales,0,0,0,0,0,0,0,0,0,0,,South Wales,1,0,0,0,0,0,0,0,0,1
,South Yorkshire,1,0,0,0,0,0,0,1,0,2,,,South Yorkshire,0,0,0,0,0,0,0,0,0,0,,South Yorkshire,1,0,0,0,0,0,0,1,0,2
,Staffordshire,144,6,5,8,14,0,30,6,29,242,,,Staffordshire,38,0,1,1,5,0,10,1,10,66,,Staffordshire,182,6,6,9,19,0,40,7,39,308
,Suffolk,2,0,0,0,3,0,0,0,16,21,,,Suffolk,0,0,0,0,1,0,0,0,1,2,,Suffolk,2,0,0,0,4,0,0,0,17,23
,Surrey,0,0,0,0,0,0,0,0,0,0,,,Surrey,0,0,0,0,0,0,0,0,0,0,,Surrey,0,0,0,0,0,0,0,0,0,0
,Sussex,3,0,0,0,5,0,1,0,36,45,,,Sussex,0,0,0,0,0,0,0,1,14,15,,Sussex,3,0,0,0,5,0,1,1,50,60
,Thames Valley,3,0,0,2,0,0,1,1,17,24,,,Thames Valley,1,0,0,0,1,0,1,0,1,4,,Thames Valley,4,0,0,2,1,0,2,1,18,28
,Warwickshire,1,1,0,0,0,0,0,0,0,2,,,Warwickshire,0,0,0,0,0,0,0,0,0,0,,Warwickshire,1,1,0,0,0,0,0,0,0,2
,West Mercia,4,0,0,1,2,0,0,0,7,14,,,West Mercia,0,0,0,0,1,0,0,1,1,3,,West Mercia,4,0,0,1,3,0,0,1,8,17
,West Midlands,6,0,0,0,16,1,4,1,4,32,,,West Midlands,2,0,0,0,3,1,0,1,0,7,,West Midlands,8,0,0,0,19,2,4,2,4,39
,West Yorkshire,4,0,2,1,1,2,4,0,0,14,,,West Yorkshire,2,0,0,0,1,0,0,1,0,4,,West Yorkshire,6,0,2,1,2,2,4,1,0,18
,Wiltshire,1,0,0,0,0,0,0,0,0,1,,,Wiltshire,1,0,0,0,2,2,0,0,0,5,,Wiltshire,2,0,0,0,2,2,0,0,0,6
,Total,432,28,18,40,177,21,107,50,371,"1,244",,,Total,115,0,3,4,65,8,21,14,76,306,,Total,547,28,21,44,242,29,128,64,447,"1,550"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010/11,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,2010/11,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,Avon & Somerset,0,0,0,0,0,0,0,0,0,0
,Bedfordshire,7,0,0,0,0,0,0,2,13,22,,,Bedfordshire,0,0,0,0,0,0,0,0,3,3,,Bedfordshire,7,0,0,0,0,0,0,2,16,25
,Cambridgeshire,2,0,0,1,2,0,0,1,4,10,,,Cambridgeshire,1,0,0,0,0,0,0,0,2,3,,Cambridgeshire,3,0,0,1,2,0,0,1,6,13
,Cheshire,0,0,0,0,1,0,0,0,0,1,,,Cheshire,0,0,0,0,0,0,0,0,0,0,,Cheshire,0,0,0,0,1,0,0,0,0,1
,Cleveland,63,0,2,5,25,0,26,5,22,148,,,Cleveland,14,0,0,3,8,0,4,1,5,35,,Cleveland,77,0,2,8,33,0,30,6,27,183
,Cumbria,30,2,0,3,9,0,8,4,0,56,,,Cumbria,7,0,0,0,1,0,1,0,0,9,,Cumbria,37,2,0,3,10,0,9,4,0,65
,Derbyshire,5,0,0,0,2,0,3,1,0,11,,,Derbyshire,1,0,0,0,1,0,0,0,0,2,,Derbyshire,6,0,0,0,3,0,3,1,0,13
,Devon & Cornwall,1,1,0,0,1,0,0,0,0,3,,,Devon & Cornwall,0,0,0,0,1,0,1,0,0,2,,Devon & Cornwall,1,1,0,0,2,0,1,0,0,5
,Dorset,6,1,0,1,8,0,0,0,0,16,,,Dorset,0,0,0,0,0,0,0,1,0,1,,Dorset,6,1,0,1,8,0,0,1,0,17
,Durham,3,1,0,0,4,0,1,0,3,12,,,Durham,3,0,0,0,1,0,0,0,0,4,,Durham,6,1,0,0,5,0,1,0,3,16
,Dyfed-Powys,1,0,0,0,0,0,0,0,0,1,,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,Dyfed-Powys,1,0,0,0,0,0,0,0,0,1
,Essex,3,6,0,1,3,1,1,0,6,21,,,Essex,4,0,0,0,0,0,1,0,0,5,,Essex,7,6,0,1,3,1,2,0,6,26
,Gloucestershire,6,0,1,0,3,1,0,1,0,12,,,Gloucestershire,6,0,0,1,1,1,0,1,3,13,,Gloucestershire,12,0,1,1,4,2,0,2,3,25
,Greater Manchester,14,2,1,2,27,0,4,3,9,62,,,Greater Manchester,5,0,0,0,4,2,0,0,4,15,,Greater Manchester,19,2,1,2,31,2,4,3,13,77
,Gwent,0,0,0,0,1,0,0,0,0,1,,,Gwent,0,0,0,0,0,0,0,0,1,1,,Gwent,0,0,0,0,1,0,0,0,1,2
,Hampshire,1,1,0,1,1,0,2,0,0,6,,,Hampshire,1,0,0,0,0,0,0,0,0,1,,Hampshire,2,1,0,1,1,0,2,0,0,7
,Hertfordshire,1,0,0,0,0,0,0,0,0,1,,,Hertfordshire,0,0,0,0,0,0,0,0,0,0,,Hertfordshire,1,0,0,0,0,0,0,0,0,1
,Humberside,0,0,0,1,0,0,1,0,9,11,,,Humberside,1,0,0,0,0,0,0,0,3,4,,Humberside,1,0,0,1,0,0,1,0,12,15
,Kent,1,4,0,1,0,1,0,1,9,17,,,Kent,2,0,0,0,0,0,0,0,0,2,,Kent,3,4,0,1,0,1,0,1,9,19
,Lancashire,2,0,0,0,1,0,0,0,0,3,,,Lancashire,0,0,0,0,1,0,0,0,0,1,,Lancashire,2,0,0,0,2,0,0,0,0,4
,Leicestershire,0,0,0,2,0,0,1,0,4,7,,,Leicestershire,0,0,0,0,1,0,0,0,1,2,,Leicestershire,0,0,0,2,1,0,1,0,5,9
,Lincolnshire,2,0,0,0,0,2,0,0,1,5,,,Lincolnshire,1,0,0,0,0,0,0,0,0,1,,Lincolnshire,3,0,0,0,0,2,0,0,1,6
,"London, City of",0,0,0,0,1,0,0,0,0,1,,,"London, City of",0,0,0,0,0,0,0,0,0,0,,"London, City of",0,0,0,0,1,0,0,0,0,1
,Merseyside,3,0,0,0,0,1,0,1,1,6,,,Merseyside,0,0,0,0,0,0,0,0,0,0,,Merseyside,3,0,0,0,0,1,0,1,1,6
,Metropolitan Police,39,8,3,3,27,2,12,8,121,223,,,Metropolitan Police,16,0,0,1,12,1,3,3,34,70,,Metropolitan Police,55,8,3,4,39,3,15,11,155,293
,Norfolk,6,0,0,1,0,1,0,0,3,11,,,Norfolk,1,0,0,0,0,0,0,0,1,2,,Norfolk,7,0,0,1,0,1,0,0,4,13
,Northamptonshire,0,0,0,0,1,0,1,0,3,5,,,Northamptonshire,1,0,0,0,0,0,1,0,0,2,,Northamptonshire,1,0,0,0,1,0,2,0,3,7
,Northumbria,0,0,0,0,0,0,0,0,0,0,,,Northumbria,0,0,0,0,0,0,0,0,0,0,,Northumbria,0,0,0,0,0,0,0,0,0,0
,North Wales,0,0,0,0,0,0,0,0,0,0,,,North Wales,0,0,0,0,0,0,0,0,0,0,,North Wales,0,0,0,0,0,0,0,0,0,0
,North Yorkshire,3,0,0,0,0,0,0,0,0,3,,,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,North Yorkshire,3,0,0,0,0,0,0,0,0,3
,Nottinghamshire,1,0,0,0,0,0,1,1,5,8,,,Nottinghamshire,0,0,0,0,1,0,0,0,2,3,,Nottinghamshire,1,0,0,0,1,0,1,1,7,11
,South Wales,13,2,0,4,23,1,5,6,2,56,,,South Wales,7,0,0,1,0,1,1,0,1,11,,South Wales,20,2,0,5,23,2,6,6,3,67
,South Yorkshire,1,0,0,0,0,0,0,0,0,1,,,South Yorkshire,0,0,0,1,0,0,0,0,0,1,,South Yorkshire,1,0,0,1,0,0,0,0,0,2
,Staffordshire,104,2,3,3,16,0,24,2,22,176,,,Staffordshire,28,0,0,0,12,0,3,0,2,45,,Staffordshire,132,2,3,3,28,0,27,2,24,221
,Suffolk,1,0,0,2,1,1,0,1,8,14,,,Suffolk,0,0,0,0,0,0,0,0,1,1,,Suffolk,1,0,0,2,1,1,0,1,9,15
,Surrey,0,0,0,0,0,0,0,0,0,0,,,Surrey,0,0,0,0,0,0,0,0,0,0,,Surrey,0,0,0,0,0,0,0,0,0,0
,Sussex,2,2,0,1,2,0,1,0,17,25,,,Sussex,1,0,0,1,1,0,1,1,10,15,,Sussex,3,2,0,2,3,0,2,1,27,40
,Thames Valley,0,0,0,0,0,0,1,0,3,4,,,Thames Valley,0,0,0,0,0,0,0,0,1,1,,Thames Valley,0,0,0,0,0,0,1,0,4,5
,Warwickshire,0,0,0,0,0,0,0,1,0,1,,,Warwickshire,0,0,0,0,1,0,0,0,0,1,,Warwickshire,0,0,0,0,1,0,0,1,0,2
,West Mercia,1,1,0,0,2,0,0,0,7,11,,,West Mercia,0,0,0,0,1,0,1,0,2,4,,West Mercia,1,1,0,0,3,0,1,0,9,15
,West Midlands,4,0,0,0,3,0,3,0,5,15,,,West Midlands,0,0,0,0,3,0,0,0,0,3,,West Midlands,4,0,0,0,6,0,3,0,5,18
,West Yorkshire,5,0,0,1,4,0,1,3,1,15,,,West Yorkshire,0,0,0,0,0,0,0,0,1,1,,West Yorkshire,5,0,0,1,4,0,1,3,2,16
,Wiltshire,0,0,0,0,0,0,0,0,0,0,,,Wiltshire,0,0,0,0,0,0,0,0,0,0,,Wiltshire,0,0,0,0,0,0,0,0,0,0
,Total,331,33,10,33,168,11,96,41,278,"1,001",,,Total,100,0,0,8,50,5,17,7,77,264,,Total,431,33,10,41,218,16,113,48,355,"1,265"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/12,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,2011/12,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,Avon & Somerset,0,0,0,0,0,0,0,0,0,0
,Bedfordshire,6,1,0,0,1,0,0,1,5,14,,,Bedfordshire,2,0,0,0,0,0,0,0,3,5,,Bedfordshire,8,1,0,0,1,0,0,1,8,19
,Cambridgeshire,2,0,0,0,1,0,0,0,6,9,,,Cambridgeshire,2,0,0,0,0,0,0,0,0,2,,Cambridgeshire,4,0,0,0,1,0,0,0,6,11
,Cheshire,0,0,0,0,0,0,0,0,0,0,,,Cheshire,0,0,0,0,0,0,0,1,0,1,,Cheshire,0,0,0,0,0,0,0,1,0,1
,Cleveland,37,1,3,4,9,0,12,2,9,77,,,Cleveland,6,0,0,1,6,0,1,0,1,15,,Cleveland,43,1,3,5,15,0,13,2,10,92
,Cumbria,30,3,0,3,7,0,7,4,0,54,,,Cumbria,7,0,0,0,4,0,1,0,0,12,,Cumbria,37,3,0,3,11,0,8,4,0,66
,Derbyshire,2,1,0,0,4,0,0,1,1,9,,,Derbyshire,0,0,0,1,0,1,0,0,1,3,,Derbyshire,2,1,0,1,4,1,0,1,2,12
,Devon & Cornwall,0,0,0,0,2,0,0,0,0,2,,,Devon & Cornwall,1,0,0,0,0,0,0,0,0,1,,Devon & Cornwall,1,0,0,0,2,0,0,0,0,3
,Dorset,0,0,0,0,0,1,0,1,0,2,,,Dorset,0,0,0,0,0,0,0,0,0,0,,Dorset,0,0,0,0,0,1,0,1,0,2
,Durham,2,1,0,0,1,0,0,1,3,8,,,Durham,0,0,0,0,2,0,0,0,3,5,,Durham,2,1,0,0,3,0,0,1,6,13
,Dyfed-Powys,0,0,0,1,1,0,0,0,0,2,,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,Dyfed-Powys,0,0,0,1,1,0,0,0,0,2
,Essex,9,2,0,1,3,0,4,0,10,29,,,Essex,5,0,0,0,5,0,0,0,0,10,,Essex,14,2,0,1,8,0,4,0,10,39
,Gloucestershire,8,1,0,0,1,2,0,0,2,14,,,Gloucestershire,3,0,0,0,1,0,0,0,0,4,,Gloucestershire,11,1,0,0,2,2,0,0,2,18
,Greater Manchester,6,1,0,3,26,0,1,0,0,37,,,Greater Manchester,1,0,0,0,5,0,0,0,0,6,,Greater Manchester,7,1,0,3,31,0,1,0,0,43
,Gwent,0,0,0,0,0,0,0,0,1,1,,,Gwent,1,0,0,0,0,0,0,0,0,1,,Gwent,1,0,0,0,0,0,0,0,1,2
,Hampshire,3,1,0,0,3,0,1,2,0,10,,,Hampshire,0,0,0,0,0,0,0,0,0,0,,Hampshire,3,1,0,0,3,0,1,2,0,10
,Hertfordshire,0,0,0,0,1,0,0,0,0,1,,,Hertfordshire,0,0,0,0,0,0,0,0,0,0,,Hertfordshire,0,0,0,0,1,0,0,0,0,1
,Humberside,3,0,1,0,0,0,0,0,6,10,,,Humberside,0,0,0,0,1,0,0,0,1,2,,Humberside,3,0,1,0,1,0,0,0,7,12
,Kent,2,1,0,0,1,0,0,0,2,6,,,Kent,0,0,0,0,0,0,0,1,1,2,,Kent,2,1,0,0,1,0,0,1,3,8
,Lancashire,0,0,0,0,0,0,0,0,0,0,,,Lancashire,0,0,0,0,0,0,0,0,0,0,,Lancashire,0,0,0,0,0,0,0,0,0,0
,Leicestershire,2,0,0,0,0,0,0,0,8,10,,,Leicestershire,0,0,0,0,0,0,0,0,2,2,,Leicestershire,2,0,0,0,0,0,0,0,10,12
,Lincolnshire,2,1,0,0,0,0,0,1,0,4,,,Lincolnshire,2,0,0,1,1,0,0,0,0,4,,Lincolnshire,4,1,0,1,1,0,0,1,0,8
,"London, City of",0,0,0,0,0,0,0,0,1,1,,,"London, City of",1,0,0,0,0,0,0,0,0,1,,"London, City of",1,0,0,0,0,0,0,0,1,2
,Merseyside,6,0,0,1,1,1,0,2,0,11,,,Merseyside,0,0,0,0,0,0,0,0,0,0,,Merseyside,6,0,0,1,1,1,0,2,0,11
,Metropolitan Police,22,4,6,9,17,1,9,14,89,171,,,Metropolitan Police,9,0,0,2,7,2,3,2,16,41,,Metropolitan Police,31,4,6,11,24,3,12,16,105,212
