Return to contents page,,,,,,,,,,,,,,,,,
"Table C1a: Adult proven reoffending data, by index disposal1",,,,,,,,,,,,,,,,,
,2004,2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,,Percentage change 2004 to Mar 2015,,Percentage change Apr 2013 to Mar 2014 to Apr 2014 to Mar 2015,
Suspended Sentence Order - without requirements3,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),-,-,-,-,-,-,-,-,-,-,35.1,34.8,,-,pp,-0.3,pp
Average number of reoffences per reoffender,-,-,-,-,-,-,-,-,-,-,4.30,4.47,,-,,4.0%,
Number of reoffences,-,-,-,-,-,-,-,-,-,-,"5,175","8,226",,-,,59.0%,
Number of reoffenders,-,-,-,-,-,-,-,-,-,-,"1,203","1,839",,-,,52.9%,
Number of offenders in cohort,-,-,-,-,-,-,-,-,-,-,"3,427","5,277",,-,,54.0%,
,,,,,,,,,,,,,,,,,
Custody,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),48.6,47.2,47.1,48.4,49.2,48.7,46.9,47.2,45.8,45.1,45.8,44.7,,-3.9,pp,-1.1,pp
Average number of reoffences per reoffender,4.48,4.26,4.20,4.25,4.29,4.17,4.03,4.21,4.17,4.31,4.49,4.63,,3.2%,,3.1%,
Number of reoffences,"138,400","124,087","122,088","118,202","129,913","130,483","115,329","110,702","114,857","118,177","119,267","114,652",,-17.2%,,-3.9%,
Number of reoffenders,"30,864","29,127","29,046","27,794","30,318","31,324","28,605","26,324","27,537","27,406","26,581","24,787",,-19.7%,,-6.7%,
Number of offenders in cohort,"63,494","61,675","61,677","57,449","61,654","64,375","61,033","55,759","60,177","60,828","58,088","55,451",,-12.7%,,-4.5%,
,,,,,,,,,,,,,,,,,
"Custody or Court Order2,3",,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),39.8,38.4,37.9,37.7,38.0,37.5,36.0,36.0,35.6,35.5,35.6,33.8,,-6.0,pp,-1.8,pp
Average number of reoffences per reoffender,3.87,3.65,3.58,3.48,3.49,3.41,3.27,3.36,3.38,3.52,3.65,3.74,,-3.6%,,2.4%,
Number of reoffences,"252,327","238,124","239,450","239,020","253,794","254,251","231,265","232,131","228,137","220,869","223,439","214,247",,-15.1%,,-4.1%,
Number of reoffenders,"65,123","65,217","66,959","68,623","72,808","74,623","70,781","69,014","67,471","62,731","61,226","57,332",,-12.0%,,-6.4%,
Number of offenders in cohort,"163,775","170,021","176,645","182,066","191,605","198,821","196,589","191,909","189,444","176,935","172,074","169,838",,3.7%,,-1.3%,
,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),43.7,42.4,41.8,39.7,41.8,39.6,42.3,46.4,47.9,45.9,46.8,45.9,,2.3,pp,-0.9,pp
Average number of reoffences per reoffender,4.40,4.18,4.17,4.17,4.40,4.23,4.21,4.34,4.35,4.59,4.64,4.75,,7.9%,,2.2%,
Number of reoffences,"25,712","23,815","23,669","21,603","25,777","24,582","33,840","44,581","44,377","39,966","38,791","39,179",,52.4%,,1.0%,
Number of reoffenders,"5,845","5,694","5,680","5,185","5,854","5,810","8,047","10,275","10,204","8,709","8,357","8,255",,41.2%,,-1.2%,
Number of offenders in cohort,"13,390","13,432","13,592","13,045","14,007","14,685","19,027","22,131","21,285","18,968","17,854","17,978",,34.3%,,0.7%,
,,,,,,,,,,,,,,,,,
"1. Number of offenders in each disposal category do not sum to the total number of offenders. This is due to a difference in methodology to provide a realistic and relevant view of proven reoffending by disposal type. The first event within each disposal is taken as the start point. Therefore, some offenders will appear in more than one disposal category.",,,,,,,,,,,,,,,,,
"2. Court Orders include pre-Criminal Justice Act 2003 community sentences, new community orders and suspended sentence orders.",,,,,,,,,,,,,,,,,
"3. As Court Order figures include pre-Criminal Justice Act 2003 community sentences, they will not equal the sum of Community Order and Suspended Sentence Order figures. Community Orders and Suspended Sentence Orders were introduced in the Criminal Justice Act 2003 and came into force from April 2005",,,,,,,,,,,,,,,,,
