"Table A1.16 Prison population under immediate custodial sentence by detailed sentence length, age group and sex, 2002 to 2014, England and Wales",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Jun-11,30-Jun-12,30-Jun-13,30-Jun-14
Indeterminate,"5,023","5,277","5,448","5,723","6,956","8,899","10,677","11,897","11,611","12,680","13,286","13,454","12,956","12,417"
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,"5,303","4,873","5,141","4,996","4,799","4,969"
,,,,,,,,,,,,,,
18 - 20 Year Olds,"6,177","6,042","5,881","5,865","5,987","6,634","6,757","6,846","6,669","6,623","6,155","5,851","4,876","4,336"
,,,,,,,,,,,,,,
Less than or equal to 6 months,878,923,841,828,817,912,878,764,712,768,705,616,443,381
Up to and including 3 months,295,308,260,265,298,363,307,323,277,310,263,251,171,156
Over 3 months up to and including 6 months ,582,615,581,562,519,550,571,440,433,433,426,356,261,215
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,2,25,16,9,11,10
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,428,335,373,336,356,386,416,373,355,378,315,311,207,192
,,,,,,,,,,,,,,
12 months to less than 4 years,"3,432","3,237","3,058","3,116","3,216","3,487","3,505","3,612","3,082","3,170","2,882","2,857","2,404","2,144"
12 months   ,328,268,258,298,305,352,325,336,284,255,232,198,179,144
Over 12 months up to and including 18 months,694,617,589,563,663,720,734,760,632,654,577,605,445,324
Over 18 months up to and including 3 years,"1,885","1,755","1,650","1,671","1,714","1,955","2,011","2,045","1,748","1,733","1,591","1,617","1,381","1,282"
Over 3 years up to and less than 4 years  ,525,598,561,584,534,460,435,472,417,450,416,390,376,381
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,1,78,66,47,23,13
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"1,345","1,419","1,477","1,443","1,322","1,338","1,334","1,543","1,435","1,460","1,468","1,387","1,309","1,183"
4 years,404,390,401,384,360,420,404,468,414,376,347,287,249,213
Over 4 years up to and including 5 years,486,503,559,552,477,430,439,515,486,480,452,448,368,314
Over 5 years up to and including 10 years,434,497,494,476,449,451,470,525,507,512,562,564,595,525
Over 10 years less than indeterminate,20,30,23,32,37,37,21,36,28,31,32,49,60,67
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,61,75,39,37,64
,,,,,,,,,,,,,,
Indeterminate,95,128,132,141,275,510,624,554,514,400,317,269,208,154
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,571,447,468,411,305,282
,,,,,,,,,,,,,,
15 - 17 Year Olds,"2,089","1,781","1,763","1,835","1,865","1,883","1,932","1,559","1,606","1,185","1,150",995,681,553
,,,,,,,,,,,,,,
Less than or equal to 6 months,434,412,435,502,481,477,488,337,330,240,234,189,131,126
Up to and including 3 months,20,22,31,42,43,59,57,33,2,32,44,40,26,33
Over 3 months up to and including 6 months ,414,390,404,460,438,419,431,304,327,206,186,147,104,92
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,1,2,4,2,1,1
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,302,255,273,257,261,261,284,209,219,168,166,136,75,52
,,,,,,,,,,,,,,
12 months to less than 4 years,"1,160",959,896,916,940,950,930,782,755,562,546,511,364,267
12 months   ,290,246,231,244,271,287,254,204,206,149,156,132,90,67
Over 12 months up to and including 18 months,381,276,286,288,257,261,280,204,203,159,127,140,98,70
Over 18 months up to and including 3 years,414,359,310,313,357,359,347,316,297,214,224,199,146,102
Over 3 years up to and less than 4 years  ,75,78,70,70,54,43,48,58,49,31,33,30,25,28
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,0,9,6,10,5,0
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),164,138,144,144,139,124,150,161,161,131,126,118,89,83
4 years,73,58,59,59,51,56,52,61,60,34,32,36,27,34
Over 4 years up to and including 5 years,56,41,51,44,44,36,49,49,54,44,46,27,24,18
Over 5 years up to and including 10 years,36,39,33,40,44,32,49,49,45,46,38,47,31,25
Over 10 years less than indeterminate,0,0,2,1,0,1,0,1,2,3,0,4,2,1
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,4,10,4,5,5
,,,,,,,,,,,,,,
Indeterminate,28,16,15,17,44,71,81,70,57,54,41,31,18,16
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,84,30,37,10,4,9
,,,,,,,,,,,,,,
(1) Due to the introduction of a new prison IT system the 2010 prison population data is now taken from a different source and recalls are shown separately (they were previously included in the relevant sentence,,,,,,,,,,,,,,
length band). The 2009 figures from both the old and new systems have been presented to aid comparison.,,,,,,,,,,,,,,
"(2)Sentence length is not recorded centrally for a small proportion of prisoners. For these cases we have estimated the broad sentence length band, but they cannot be allocated to a more detailed sentence length band",,,,,,,,,,,,,,
(3) Prior to 2010 recalls were not recorded separately but were counted in the relevant sentence band,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Jun-11,30-Jun-12,30-Jun-13,30-Jun-14
,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
All,"53,936","55,919","57,475","58,703","59,898","62,188","64,600","64,993","65,047","67,450","68,424","69,976","67,587","68,163"
,,,,,,,,,,,,,,
Less than or equal to 6 months,"5,032","5,481","5,286","5,518","5,468","4,699","5,321","4,657","4,648","4,820","4,939","4,504","4,201","4,062"
Up to and including 3 months,"1,499","1,608","1,609","1,685","1,635","1,403","1,654","1,613","1,430","1,682","1,756","1,486","1,388","1,290"
Over 3 months up to and including 6 months ,"3,532","3,873","3,677","3,832","3,833","3,296","3,667","3,044","3,147","2,960","3,034","2,857","2,688","2,652"
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,71,178,149,161,125,120
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,"2,155","2,037","2,110","2,038","2,273","2,250","2,600","2,271","2,238","2,303","2,162","2,264","2,001","1,912"
,,,,,,,,,,,,,,
12 months to less than 4 years,"20,466","19,994","20,103","20,337","20,327","21,601","22,326","22,460","19,201","19,698","19,203","20,122","18,329","18,537"
12 months   ,"1,680","1,477","1,541","1,656","1,911","2,069","2,089","1,903","1,609","1,482","1,423","1,340","1,190","1,171"
Over 12 months up to and including 18 months,"3,497","3,128","3,160","3,272","3,523","3,833","4,029","4,004","3,398","3,574","3,502","3,618","2,967","2,797"
Over 18 months up to and including 3 years,"11,149","10,860","10,768","10,687","10,905","12,036","12,672","12,898","11,006","10,846","10,518","11,204","10,359","10,618"
Over 3 years up to and less than 4 years  ,"4,140","4,530","4,634","4,722","3,988","3,663","3,536","3,655","3,169","3,296","3,272","3,394","3,492","3,710"
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,19,500,488,566,321,241
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"21,301","23,155","24,564","25,113","24,783","24,456","23,318","23,458","21,407","22,706","23,406","24,520","25,382","26,389"
4 years,"3,492","3,731","3,855","3,675","3,379","3,361","3,291","3,601","3,135","3,025","2,994","3,046","2,757","2,562"
Over 4 years up to and including 5 years,"5,394","5,951","6,394","6,441","6,163","5,824","5,187","5,354","4,780","4,909","4,817","4,941","4,834","4,642"
Over 5 years up to and including 10 years,"9,761","10,612","11,262","11,818","11,991","11,869","11,405","10,938","10,086","10,579","11,124","11,779","12,439","12,861"
Over 10 years less than indeterminate,"2,653","2,862","3,053","3,180","3,250","3,402","3,435","3,566","3,406","3,694","3,919","4,150","4,858","5,435"
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,499,552,604,494,889
,,,,,,,,,,,,,,
Indeterminate,"4,982","5,252","5,412","5,697","7,047","9,182","11,035","12,147","11,813","12,753","13,267","13,360","12,779","12,205"
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,"5,740","5,170","5,447","5,206","4,895","5,058"
,,,,,,,,,,,,,,
Adults,"46,128","48,458","50,189","51,327","52,368","54,007","56,270","56,882","57,088","59,951","61,394","63,374","62,181","63,397"
,,,,,,,,,,,,,,
Less than or equal to 6 months,"3,805","4,212","4,087","4,257","4,229","3,407","4,047","3,628","3,681","3,875","4,051","3,747","3,662","3,579"
Up to and including 3 months,"1,211","1,303","1,345","1,398","1,315","1,020","1,316","1,286","1,181","1,356","1,465","1,215","1,199","1,111"
Over 3 months up to and including 6 months ,"2,594","2,909","2,742","2,860","2,914","2,387","2,732","2,342","2,432","2,363","2,456","2,381","2,347","2,358"
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,68,156,130,151,116,110
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,"1,477","1,478","1,491","1,469","1,681","1,622","1,933","1,707","1,684","1,778","1,700","1,838","1,732","1,674"
,,,,,,,,,,,,,,
12 months to less than 4 years,"16,120","15,990","16,327","16,471","16,341","17,315","18,044","18,202","15,486","16,104","15,904","16,857","15,612","16,176"
12 months   ,"1,097",989,"1,073","1,137","1,365","1,456","1,526","1,380","1,136","1,092","1,051","1,020",928,970
Over 12 months up to and including 18 months,"2,484","2,277","2,319","2,452","2,639","2,883","3,051","3,074","2,588","2,799","2,823","2,896","2,434","2,414"
Over 18 months up to and including 3 years,"8,976","8,836","8,901","8,783","8,918","9,798","10,396","10,610","9,027","8,976","8,778","9,442","8,855","9,256"
Over 3 years up to and less than 4 years  ,"3,562","3,887","4,034","4,098","3,420","3,178","3,072","3,138","2,717","2,820","2,834","2,985","3,101","3,308"
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,18,417,418,514,294,228
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"19,859","21,660","23,009","23,581","23,375","23,050","21,898","21,806","19,870","21,166","21,858","23,058","24,015","25,152"
4 years,"3,039","3,308","3,416","3,247","2,984","2,904","2,850","3,086","2,676","2,626","2,625","2,730","2,488","2,321"
Over 4 years up to and including 5 years,"4,867","5,419","5,808","5,864","5,656","5,370","4,720","4,807","4,259","4,403","4,339","4,481","4,452","4,324"
Over 5 years up to and including 10 years,"9,318","10,101","10,757","11,319","11,519","11,411","10,913","10,381","9,556","10,036","10,536","11,187","11,827","12,319"
Over 10 years less than indeterminate,"2,635","2,832","3,029","3,150","3,216","3,365","3,416","3,532","3,379","3,662","3,889","4,099","4,796","5,367"
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,439,469,561,452,821
,,,,,,,,,,,,,,
Indeterminate,"4,867","5,118","5,275","5,548","6,741","8,614","10,348","11,539","11,253","12,315","12,922","13,074","12,562","12,041"
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,"5,114","4,713","4,959","4,800","4,598","4,775"
,,,,,,,,,,,,,,
18 - 20 Year Olds,"5,821","5,737","5,580","5,596","5,716","6,354","6,454","6,593","6,398","6,337","5,896","5,623","4,733","4,213"
,,,,,,,,,,,,,,
Less than or equal to 6 months,814,865,783,780,770,835,806,705,650,710,655,569,409,357
Up to and including 3 months,269,281,235,248,277,326,283,295,247,294,247,231,163,146
Over 3 months up to and including 6 months ,545,585,548,532,493,509,523,410,401,395,393,330,238,202
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,2,21,15,8,8,9
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,396,309,355,315,338,371,390,361,340,361,298,293,197,186
,,,,,,,,,,,,,,
12 months to less than 4 years,"3,241","3,081","2,905","2,980","3,074","3,363","3,376","3,488","2,976","3,042","2,760","2,762","2,356","2,094"
12 months   ,307,247,243,281,289,334,314,321,270,245,219,189,172,134
Over 12 months up to and including 18 months,646,582,564,540,631,695,706,727,608,617,553,582,436,313
Over 18 months up to and including 3 years,"1,782","1,683","1,565","1,601","1,639","1,893","1,940","1,981","1,693","1,660","1,519","1,569","1,358","1,260"
Over 3 years up to and less than 4 years  ,505,570,533,557,515,442,416,459,404,445,405,379,367,374
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,1,75,64,43,23,13
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"1,282","1,361","1,415","1,390","1,270","1,286","1,276","1,497","1,383","1,409","1,425","1,347","1,278","1,154"
4 years,385,369,383,370,344,402,390,455,401,365,339,280,242,207
Over 4 years up to and including 5 years,472,491,538,532,464,419,422,501,472,462,433,434,358,300
Over 5 years up to and including 10 years,408,471,472,459,428,429,444,507,485,497,550,547,581,517
Over 10 years less than indeterminate,18,30,22,29,34,36,20,33,25,29,30,47,60,67
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,56,73,39,37,63
,,,,,,,,,,,,,,
Indeterminate,88,121,123,132,264,499,606,543,505,387,307,255,200,148
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,544,428,451,397,293,274
,,,,,,,,,,,,,,
15 - 17 Year Olds,"1,986","1,724","1,706","1,780","1,814","1,827","1,876","1,517","1,561","1,162","1,134",979,673,553
,,,,,,,,,,,,,,
Less than or equal to 6 months,413,401,416,481,468,457,467,324,317,235,233,188,130,126
Up to and including 3 months,19,22,29,40,43,58,55,32,2,32,44,40,26,33
Over 3 months up to and including 6 months ,393,379,387,441,425,399,412,292,314,202,185,146,103,92
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,1,1,4,2,1,1
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,282,251,265,254,254,258,277,204,214,164,164,133,72,52
,,,,,,,,,,,,,,
12 months to less than 4 years,"1,105",923,871,886,911,923,906,770,739,552,539,503,361,267
12 months   ,276,240,225,237,257,279,249,201,203,145,153,131,90,67
Over 12 months up to and including 18 months,366,269,278,279,252,256,273,203,202,158,126,140,97,70
Over 18 months up to and including 3 years,390,341,303,303,348,345,335,307,286,210,221,193,146,102
Over 3 years up to and less than 4 years  ,73,73,67,67,53,43,48,58,48,31,33,30,24,28
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,0,8,6,9,4,0
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),159,134,139,143,138,120,144,156,154,131,123,115,89,83
4 years,68,54,57,58,51,55,51,60,58,34,30,36,27,34
Over 4 years up to and including 5 years,55,40,49,44,43,35,45,45,49,44,45,26,24,18
Over 5 years up to and including 10 years,36,39,32,40,44,30,48,49,45,46,38,45,31,25
Over 10 years less than indeterminate,0,0,2,1,0,1,0,1,2,3,0,4,2,1
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,4,10,4,5,5
,,,,,,,,,,,,,,
Indeterminate,27,15,15,17,43,69,81,65,55,51,38,31,17,16
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,82,29,37,9,4,9
,,,,,,,,,,,,,,
(1) Due to the introduction of a new prison IT system the 2010 prison population data is now taken from a different source and recalls are shown separately (they were previously included in the relevant sentence,,,,,,,,,,,,,,
length band). The 2009 figures from both the old and new systems have been presented to aid comparison.,,,,,,,,,,,,,,
"(2)Sentence length is not recorded centrally for a small proportion of prisoners. For these cases we have estimated the broad sentence length band, but they cannot be allocated to a more detailed sentence length band",,,,,,,,,,,,,,
(3) Prior to 2010 recalls were not recorded separately but were counted in the relevant sentence band,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Jun-11,30-Jun-12,30-Jun-13,30-Jun-14
,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
All,"3,336","3,474","3,449","3,476","3,506","3,345","3,524","3,382","3,414","3,421","3,411","3,459","3,194","3,198"
,,,,,,,,,,,,,,
Less than or equal to 6 months,415,490,466,492,492,466,552,458,483,523,502,499,442,507
Up to and including 3 months,157,200,204,197,189,165,192,172,180,181,200,182,146,191
Over 3 months up to and including 6 months ,259,290,262,295,303,301,360,286,303,321,293,304,282,307
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,0,21,9,13,14,9
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,194,172,195,186,252,211,266,193,195,199,211,209,152,169
,,,,,,,,,,,,,,
12 months to less than 4 years,"1,392","1,384","1,333","1,291","1,292","1,239","1,306","1,318","1,161","1,159","1,189","1,182","1,044","1,052"
12 months   ,143,100,138,122,170,164,188,149,132,102,139,105,92,100
Over 12 months up to and including 18 months,263,237,206,239,245,237,262,284,241,259,225,238,175,183
Over 18 months up to and including 3 years,740,756,724,657,681,674,691,725,633,637,666,667,596,592
Over 3 years up to and less than 4 years  ,246,291,265,273,197,163,166,160,153,135,139,150,149,144
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,2,26,20,22,32,33
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"1,170","1,261","1,273","1,322","1,243","1,130","1,053","1,039",988,979,933,964,940,886
4 years,198,198,222,225,176,177,173,186,173,165,162,182,164,127
Over 4 years up to and including 5 years,329,322,315,333,310,234,194,223,209,217,208,224,216,197
Over 5 years up to and including 10 years,531,620,614,640,624,584,559,501,482,472,433,428,438,437
Over 10 years less than indeterminate,113,121,123,125,133,135,127,129,124,107,119,106,98,99
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,18,11,24,24,26
,,,,,,,,,,,,,,
Indeterminate,165,167,182,185,227,299,347,374,369,381,377,394,403,382
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,218,180,199,211,213,202
,,,,,,,,,,,,,,
Adults,"2,877","3,112","3,091","3,153","3,185","3,009","3,164","3,088","3,098","3,112","3,136","3,215","3,043","3,075"
,,,,,,,,,,,,,,
Less than or equal to 6 months,330,421,388,422,431,368,460,386,408,460,451,451,407,483
Up to and including 3 months,129,173,177,177,168,127,166,142,150,165,184,162,138,181
Over 3 months up to and including 6 months ,201,248,211,245,263,241,293,243,258,279,259,277,258,294
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,0,16,8,12,11,8
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,142,142,169,163,227,193,233,175,175,178,192,188,139,163
,,,,,,,,,,,,,,
12 months to less than 4 years,"1,146","1,192","1,155","1,125","1,121","1,088","1,153","1,182","1,039","1,021","1,060","1,079",993,"1,002"
12 months   ,108,74,117,98,140,139,171,132,115,88,123,95,85,90
Over 12 months up to and including 18 months,201,194,172,207,208,207,226,250,216,221,200,215,165,172
Over 18 months up to and including 3 years,613,666,631,577,597,598,608,653,567,560,591,613,573,570
Over 3 years up to and less than 4 years  ,224,258,234,243,177,145,147,148,139,130,128,139,139,137
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,2,22,18,17,31,33
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"1,103","1,198","1,206","1,268","1,190","1,074",990,987,929,928,887,921,909,857
4 years,175,174,202,210,161,157,159,173,158,154,152,175,157,121
Over 4 years up to and including 5 years,313,309,292,313,296,223,174,205,190,199,188,209,206,183
Over 5 years up to and including 10 years,504,595,591,623,603,560,531,484,460,457,421,409,424,429
Over 10 years less than indeterminate,110,121,122,122,130,133,126,126,121,105,117,104,98,99
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,13,9,24,24,25
,,,,,,,,,,,,,,
Indeterminate,157,159,173,175,215,286,329,358,358,365,364,380,394,376
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,189,160,182,196,201,194
,,,,,,,,,,,,,,
18 - 20 Year Olds,356,305,300,269,271,280,303,253,271,286,259,228,143,123
,,,,,,,,,,,,,,
Less than or equal to 6 months,64,58,58,48,47,77,72,59,62,58,50,47,34,24
Up to and including 3 months,27,27,25,17,21,37,24,28,30,16,16,20,8,10
Over 3 months up to and including 6 months ,37,30,33,31,26,41,48,30,32,38,33,26,23,13
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,0,4,1,1,3,1
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,32,26,18,21,19,16,26,12,15,17,17,18,10,6
,,,,,,,,,,,,,,
12 months to less than 4 years,191,156,153,137,142,124,129,124,106,128,122,95,48,50
12 months   ,22,20,14,17,16,18,11,15,14,10,13,9,7,10
Over 12 months up to and including 18 months,47,35,25,23,32,26,28,34,24,37,24,23,9,11
Over 18 months up to and including 3 years,103,72,85,70,74,63,71,63,55,73,72,48,23,22
Over 3 years up to and less than 4 years  ,20,28,28,27,19,18,18,13,13,5,11,11,9,7
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,0,3,2,4,0,0
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),62,58,62,53,52,52,58,47,52,51,43,40,31,29
4 years,19,21,18,14,15,18,13,13,13,11,8,7,7,6
Over 4 years up to and including 5 years,15,12,21,19,13,11,17,13,14,18,19,14,10,14
Over 5 years up to and including 10 years,26,26,22,17,21,22,27,18,22,15,12,17,14,8
Over 10 years less than indeterminate,2,0,1,3,3,2,2,3,3,2,2,2,0,0
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,5,2,0,0,1
,,,,,,,,,,,,,,
Indeterminate,7,7,9,10,11,11,18,11,9,13,10,14,8,6
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,27,19,17,14,12,8
,,,,,,,,,,,,,,
