Table 2: Population in prison by offence - remand and immediate custodial sentence,,,,,,,,
,Jun-08,,,Jun-09,,,Percentage change 2008 to 2009,
Burglary,"1,130","6,515",,"1,071","6,430",,-5,-1
Theft and Handling,768,"2,866",,659,"2,527",,-14,-12
Fraud and Forgery,368,"1,685",,387,"1,580",,5,-6
Drug offences,"1,492","9,149",,"1,578","8,996",,6,-2
Motoring offences,106,"1,179",,106,"1,005",,0,-15
Other offences,"1,452","5,029",,"1,480","4,826",,2,-4
Offence not recorded,577,116,,629,241,,9,107
,,,,,,,,
All adult female prisoners,767,"3,147",,727,"3,074",,-5,-2
Violence against the person,143,650,,142,721,,-1,11
Sexual offences,6,47,,13,51,,*,*
Robbery,47,236,,58,274,,*,16
Burglary,62,183,,44,190,,*,4
Theft and Handling,112,427,,99,390,,-12,-9
Fraud and Forgery,77,285,,54,245,,-30,-14
Drug offences,125,926,,114,845,,-9,-9
Motoring offences,3,20,,1,19,,*,*
Other offences,117,358,,124,327,,6,-9
Offence not recorded,76,14,,78,12,,3,*
,,,,,,,,
All aged 15-17,593,"1,932",,543,"1,559",,-8,-19
Violence against the person,160,507,,151,381,,-6,-25
Sexual offences,37,74,,22,77,,*,4
Robbery,168,485,,167,451,,-1,-7
Burglary,85,319,,78,251,,-9,-21
Theft and Handling,29,153,,27,127,,*,-17
Fraud and Forgery,3,4,,0,1,,*,*
Drug offences,38,111,,41,86,,*,-23
Motoring offences,3,26,,3,13,,*,*
Other offences,63,247,,51,168,,-19,-32
Offence not recorded,7,6,,3,4,,*,*
,,,,,,,,
All males aged 15-17,580,"1,876",,531,"1,517",,-8,-19
Violence against the person,159,489,,147,366,,-8,-25
Sexual offences,37,74,,22,77,,*,4
Robbery,165,472,,165,440,,0,-7
Burglary,85,315,,78,248,,-9,-21
Theft and Handling,28,147,,26,124,,*,-16
Fraud and Forgery,3,4,,0,1,,*,*
Drug offences,38,106,,39,82,,*,-23
Motoring offences,3,26,,3,13,,*,*
Other offences,56,238,,48,161,,*,-32
Offence not recorded,5,5,,3,4,,*,*
,,,,,,,,
All females aged 15-17,14,57,,12,42,,*,*
Violence against the person,1,19,,4,15,,*,*
Sexual offences,0,0,,0,0,,*,*
Robbery,3,13,,2,10,,*,*
Burglary,0,5,,0,3,,*,*
Theft and Handling,1,6,,1,3,,*,*
Fraud and Forgery,0,0,,0,0,,*,*
Drug offences,0,5,,2,4,,*,*
Motoring offences,0,0,,0,0,,*,*
Other offences,7,9,,3,7,,*,*
Offence not recorded,2,1,,0,0,,*,*
,,,,,,,,
All young adults1,"2,013","7,424",,"2,081","7,574",,3,2
Violence against the person,560,"2,178",,574,"2,265",,2,4
Sexual offences,73,349,,89,353,,22,1
Robbery,389,"1,720",,391,"1,836",,1,7
Burglary,246,917,,294,"1,012",,19,10
Theft and Handling,145,389,,146,338,,1,-13
Fraud and Forgery,29,46,,25,49,,*,*
Drug offences,197,796,,186,770,,-6,-3
Motoring offences,17,153,,18,112,,*,-27
Other offences,271,851,,287,795,,6,-7
Offence not recorded,85,24,,70,44,,-17,*
,,,,,,,,
All male young adults1,"1,919","7,103",,"1,981","7,308",,3,3
Violence against the person,539,"2,071",,543,"2,161",,1,4
Sexual offences,73,349,,87,350,,19,0
Robbery,375,"1,674",,382,"1,786",,2,7
Burglary,240,902,,289,999,,20,11
Theft and Handling,134,360,,138,313,,3,-13
Fraud and Forgery,26,37,,23,48,,*,*
Drug offences,179,736,,170,725,,-5,-1
Motoring offences,17,151,,18,112,,*,-26
Other offences,257,800,,268,771,,4,-4
Offence not recorded,79,23,,63,44,,-20,*
,,,,,,,,
All female young adults1,93,320,,100,266,,8,-17
Violence against the person,22,106,,31,104,,*,-2
Sexual offences,0,0,,2,3,,*,*
Robbery,14,46,,10,50,,*,*
Burglary,5,15,,5,14,,*,*
Theft and Handling,11,30,,8,26,,*,*
Fraud and Forgery,2,10,,2,1,,*,*
Drug offences,18,60,,16,45,,*,*
Motoring offences,0,2,,0,0,,*,*
Other offences,14,51,,19,25,,*,*
Offence not recorded,6,1,,7,0,,*,*
,,,,,,,,
,,,,,,,,
1  Young adults are those aged 18 - 20 and those 21 year olds who were aged 20 or under at conviction who have not been reclassified as part of ,,,,,,,,
       the adult population,,,,,,,,
* Indicates that one or both of the comparative numbers are less than 50 which could give rise to misleading percentage changes,,,,,,,,
 June 2009 and June 2008 data are not directly comparable because some improvements have been made to the way offences are grouped,,,,,,,,
  which has resulted in small changes to some offence groups,,,,,,,,
