Table SEND.5,,,,,,,
"Special Educational Needs: Appeals registered per local authority, 2007/08 to 2013/14",,,,,,,
Index,,,,,,,
,,,,,,,
Local Authority,1 September 2007 to 31 August 2008,1 September 2008 to 31 August 2009,1 September 2009 to 31 August 2010,1 September 2010 to 31 August 2011,1 September 2011 to 31 August 2012,1 September 2012 to 31 August 2013,1 September 2013 to 31 August 2014
Islington,14,15,13,*,5,9,22
Kensington and Chelsea,7,7,10,18,22,11,13
Lambeth,32,37,36,42,27,59,47
Lewisham,43,31,55,47,58,59,55
Newham,19,21,12,17,28,32,19
Southwark,37,27,25,25,34,43,49
Tower Hamlets,*,7,*,6,7,*,6
Wandsworth,40,17,33,29,38,48,36
Westminster,6,12,15,20,13,14,20
,,,,,,,
OUTER LONDON,476,425,436,555,593,531,540
Barking and Dagenham,7,10,13,11,25,19,25
Barnet,39,50,39,38,33,25,41
Bexley,36,34,26,34,36,22,48
Brent,6,8,7,10,30,27,38
Bromley,71,40,39,59,49,50,36
Croydon,66,50,58,67,54,71,58
Ealing,21,31,21,32,56,26,25
Enfield,48,42,50,57,72,65,19
Greenwich,19,23,23,40,34,32,40
Harrow,18,20,24,16,21,19,20
Havering,*,*,*,8,10,7,*
Hillingdon,11,12,12,21,26,22,19
Hounslow,14,5,15,16,13,20,11
Kingston upon Thames,17,10,11,12,13,6,18
Merton,22,16,30,30,13,29,26
Redbridge,35,19,23,27,28,17,18
Richmond upon Thames,12,16,5,13,11,14,28
Sutton,11,21,26,53,45,43,53
Waltham Forest,23,17,10,11,24,17,17
,,,,,,,
SOUTH EAST,786,724,701,737,762,822,975
Bracknell Forest,6,5,*,5,8,8,9
Brighton and Hove,27,17,26,26,44,18,17
Buckinghamshire,35,32,27,21,33,43,35
East Sussex,49,82,53,59,51,58,42
Hampshire,118,132,122,136,110,139,163
Isle of Wight,17,10,9,26,19,30,11
Kent,152,130,141,144,184,215,295
Medway,30,33,52,55,35,37,57
Milton Keynes,11,12,14,9,13,15,5
Oxfordshire,17,9,19,16,14,18,30
Portsmouth,10,5,5,6,6,8,12
Reading,*,*,*,5,8,6,8
Slough,11,6,6,*,7,*,*
Southampton,25,15,16,17,28,19,19
Surrey,157,132,147,157,142,139,200
West Berkshire,7,*,*,6,6,7,7
West Sussex,99,82,35,35,33,39,43
Windsor and Maidenhead,6,5,13,9,12,9,9
Wokingham,7,9,7,*,9,10,13
,,,,,,,
SOUTH WEST,311,282,282,301,259,276,263
Bath and North East Somerset,6,11,*,11,*,*,5
Bournemouth,*,*,5,7,*,*,10
"Bristol, City of",51,40,37,38,29,31,38
Cornwall,12,15,22,18,19,19,9
Devon,31,32,35,38,33,30,28
Dorset,10,5,16,13,7,11,18
Gloucestershire,50,35,41,45,37,44,43
Isles of Scilly,*,*,*,*,*,*,*
North Somerset,23,25,26,19,30,22,27
Plymouth,8,*,*,*,*,6,*
Poole,*,11,*,6,*,*,*
Somerset,38,44,36,37,31,35,37
South Gloucestershire,14,7,9,10,5,6,7
Swindon,8,10,10,6,9,9,8
Torbay,*,*,*,*,*,*,*
Wiltshire,52,39,38,46,46,58,33
,,,,,,,
England Total,"3,348","2,969","3,262","3,562","3,557","3,602","4,069"
Notes,,,,,,,
1. Bedfordshire is made up of Bedford and Central Bedfordshire,,,,,,,
2. Cheshire is Cheshire East and Cheshire West and Chester,,,,,,,
From September 2010 figures are for England only,,,,,,,
