"Table 2: Verdicts returned at inquests, by sex in 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Killed unlawfully,,,Killed lawfully,,,Suicide,,,Attempted or self induced abortion,,,Death aggravated by neglect or self neglect,,,Dependence on drugs,,,Non-dependent abuse of drugs,,,Want of attention at birth,,,Deaths from industrial diseases,,,Deaths by accident (including misadventure),,,Stillborn,,,Deaths from natural causes,,,Open verdicts,,,Disasters,,,All other verdicts (including narrative verdicts),,,TOTAL (all verdicts),,,Age of deceased at death,,,,,,
"Blackburn, Hyndburn and Ribble Valley",1,0,1,0,0,0,22,10,32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,1,10,43,36,79,0,0,0,90,51,141,6,1,7,0,0,0,45,40,85,217,139,356,6,1,8,65,97,179,0
Blackpool/Fylde,0,0,0,0,0,0,12,3,15,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,9,4,13,41,20,61,0,0,0,17,3,20,6,1,7,0,0,0,1,1,2,89,33,122,6,2,12,23,31,48,0
East Lancashire,1,0,1,0,0,0,21,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,28,19,47,0,0,0,32,24,56,6,2,8,0,0,0,8,3,11,110,54,164,7,3,13,41,52,48,0
Preston and West Lancashire,1,0,1,0,0,0,42,14,56,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,41,2,43,67,46,113,0,0,0,78,48,126,13,8,21,0,0,0,41,28,69,285,146,431,9,6,25,84,86,221,0
"Sefton, Knowsley and St Helens",0,0,0,0,0,0,33,17,50,0,0,0,0,0,0,3,1,4,2,0,2,0,0,0,11,1,12,62,32,94,0,0,0,40,28,68,8,2,10,0,0,0,4,5,9,163,86,249,3,2,15,66,71,92,0
Liverpool,2,0,2,1,0,1,22,8,30,0,0,0,0,0,0,11,2,13,8,2,10,1,0,1,26,4,30,76,56,132,0,0,0,121,43,164,7,2,9,0,0,0,57,35,92,332,152,484,10,4,14,100,118,238,0
Wirral,0,0,0,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,29,4,33,32,27,59,0,0,0,61,26,87,15,6,21,0,0,0,22,12,34,168,77,245,2,4,7,44,57,131,0
YORKSHIRE AND THE HUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding and Hull,0,0,0,0,0,0,21,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,32,50,18,68,0,1,1,39,24,63,33,8,41,0,0,0,40,19,59,214,76,290,7,1,17,67,86,111,1
North Lincolnshire and Grimsby,3,0,3,0,0,0,17,2,19,0,0,0,0,0,0,2,1,3,1,0,1,0,0,0,17,0,17,22,11,33,0,0,0,16,9,25,2,2,4,0,0,0,24,13,37,104,38,142,8,1,14,35,38,46,0
York City,0,0,0,0,0,0,12,1,13,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,13,0,13,15,8,23,0,0,0,23,9,32,3,3,6,0,0,0,1,0,1,71,22,93,1,2,4,12,21,53,0
North Yorkshire Eastern District,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,34,20,54,0,0,0,14,7,21,7,1,8,0,0,0,1,1,2,80,33,113,2,2,8,27,30,44,0
North Yorkshire Western District,1,2,3,0,0,0,20,7,27,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,4,1,5,27,8,35,0,0,0,17,9,26,9,1,10,0,0,0,8,1,9,89,29,118,7,1,19,26,39,26,0
South Yorkshire Eastern District,1,0,1,0,0,0,21,5,26,0,0,0,0,0,0,0,1,1,3,0,3,0,0,0,75,0,75,43,19,62,0,0,0,29,17,46,5,6,11,0,0,0,35,11,46,212,59,271,4,2,23,53,47,142,0
South Yorkshire Western District,0,1,1,0,0,0,44,7,51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,84,3,87,66,42,108,0,0,0,77,46,123,11,1,12,0,0,0,42,31,73,324,132,456,9,4,25,98,107,213,0
West Yorkshire Eastern District,1,1,2,0,0,0,47,11,58,0,0,0,0,0,0,9,4,13,16,3,19,0,0,0,72,8,80,90,52,142,0,0,0,67,47,114,25,12,37,0,0,0,37,12,49,364,150,514,10,7,31,142,108,216,0
West Yorkshire Western District,3,3,6,0,0,0,59,11,70,0,0,0,0,0,0,6,1,7,18,1,19,0,0,0,33,5,38,113,58,171,0,0,0,64,43,107,9,7,16,0,0,0,15,5,20,320,134,454,17,9,38,123,122,145,0
EAST MIDLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby and South Derbyshire,1,0,1,0,0,0,26,12,38,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,44,2,46,40,20,60,0,0,0,36,30,66,16,9,25,0,0,0,17,19,36,183,92,275,9,3,10,56,64,133,0
North Derbyshire,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,0,23,30,24,54,0,0,0,96,58,154,17,5,22,0,0,0,19,5,24,188,93,281,1,3,9,48,74,146,0
Leicester city and South Leicestershire,1,1,2,0,0,0,35,11,46,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,2,26,121,64,185,0,0,0,157,97,254,20,7,27,0,0,0,55,40,95,414,222,636,21,10,34,109,162,300,0
Rutland and North Leicestershire,1,1,2,0,0,0,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,47,18,65,0,0,0,29,23,52,7,3,10,0,0,0,5,12,17,108,65,173,2,0,18,47,53,53,0
Boston and Spalding,0,0,0,0,0,0,7,2,9,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,0,3,19,9,28,0,0,0,5,4,9,4,1,5,0,0,0,1,2,3,41,18,59,1,0,8,11,19,20,0
West Lincolnshire,1,0,1,0,0,0,16,1,17,0,0,0,0,0,0,3,1,4,4,3,7,0,0,0,6,0,6,21,5,26,0,0,0,12,8,20,18,6,24,0,0,0,7,1,8,88,25,113,3,1,11,41,35,22,0
Spilsby and Louth,0,2,2,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,13,9,22,0,0,0,5,2,7,8,8,16,0,0,0,1,1,2,38,27,65,1,2,9,20,18,15,0
Stamford,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,4,2,6,1,1,2,0,0,0,1,1,2,13,7,20,0,0,0,7,7,6,0
Northamptonshire,1,1,2,2,0,2,30,9,39,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,21,2,23,77,31,108,0,0,0,42,27,69,15,11,26,0,0,0,9,11,20,199,92,291,11,9,26,72,87,86,0
Nottinghamshire,2,2,4,0,0,0,42,8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,94,58,152,0,0,0,44,26,70,21,17,38,0,0,0,8,4,12,278,115,393,24,8,23,82,89,167,0
WEST MIDLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herefordshire,2,0,2,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,23,6,29,0,0,0,14,11,25,5,2,7,0,0,0,7,1,8,69,24,93,2,1,9,21,19,41,0
Mid and North Shropshire,0,2,2,0,0,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,19,13,32,0,0,0,5,3,8,2,2,4,0,0,0,8,5,13,49,34,83,2,2,6,13,21,39,0
South Shropshire,1,0,1,0,0,0,9,5,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,13,2,15,0,0,0,0,1,1,0,3,3,0,0,0,3,2,5,31,13,44,1,1,6,9,13,14,0
Staffordshire South,1,2,3,0,0,0,47,16,63,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,61,0,61,81,67,148,0,0,0,48,22,70,8,4,12,0,0,0,6,4,10,258,115,373,3,2,17,65,86,200,0
Stoke-on-Trent and North Staffordshire,0,1,1,0,0,0,19,2,21,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,56,3,59,69,55,124,0,0,0,40,19,59,13,6,19,0,0,0,67,50,117,269,136,405,12,7,11,46,59,270,0
Telford and the Wrekin,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,20,7,27,0,0,0,9,5,14,4,0,4,0,0,0,7,7,14,55,23,78,2,2,3,19,15,37,0
Warwickshire,5,3,8,0,0,0,28,7,35,0,0,0,1,0,1,1,0,1,6,2,8,0,0,0,16,1,17,53,25,78,0,0,0,35,9,44,7,2,9,0,0,0,7,0,7,159,49,208,5,5,11,47,73,67,0
Birmingham and Solihull,2,1,3,0,0,0,15,2,17,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,27,4,31,73,68,141,0,0,0,175,98,273,17,11,28,0,0,0,290,176,466,602,360,962,26,49,33,154,173,527,0
Black Country,0,1,1,0,0,0,32,5,37,0,0,0,0,0,0,9,3,12,1,0,1,0,0,0,19,4,23,39,17,56,0,0,0,43,40,83,16,0,16,0,0,0,29,8,37,188,78,266,8,1,11,82,85,79,0
Coventry,3,2,5,0,0,0,17,13,30,0,0,0,0,0,0,1,0,1,5,0,5,0,0,0,7,1,8,32,18,50,0,0,0,51,31,82,13,5,18,0,0,0,3,2,5,132,72,204,4,2,11,53,57,77,0
Wolverhampton,0,0,0,0,0,0,4,2,6,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,3,13,4,17,1,0,1,31,15,46,9,2,11,0,0,0,19,11,30,81,35,116,6,1,3,26,35,45,0
Worcestershire,1,0,1,0,0,0,29,7,36,0,0,0,0,0,0,1,1,2,3,1,4,0,0,0,5,0,5,74,37,111,0,0,0,63,36,99,24,10,34,0,0,0,33,17,50,233,109,342,7,0,21,74,93,147,0
EAST OF ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire and Luton,3,2,5,0,0,0,30,7,37,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,20,3,23,40,23,63,0,0,0,34,14,48,5,0,5,0,0,0,4,3,7,141,52,193,6,4,16,58,57,52,0
North and East Cambridgeshire,0,1,1,0,0,0,14,2,16,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,9,3,12,0,0,0,5,3,8,2,0,2,0,0,0,2,5,7,35,14,49,0,0,3,10,25,11,0
South and West Cambridgeshire,1,0,1,0,0,0,24,10,34,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,12,2,14,46,21,67,0,0,0,38,14,52,2,3,5,0,0,0,18,8,26,143,58,201,2,2,11,63,62,61,0
Essex and Thurrock,2,0,2,0,0,0,50,9,59,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,65,8,73,62,28,90,0,0,0,57,30,87,22,13,35,0,0,0,7,3,10,266,91,357,5,5,20,94,99,134,0
Hertfordshire,0,0,0,0,0,0,51,12,63,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,28,0,28,80,35,115,0,0,0,96,55,151,9,4,13,0,0,0,19,10,29,285,116,401,9,5,21,104,119,143,0
Great Yarmouth,4,0,4,0,0,0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,18,9,27,0,0,0,10,7,17,8,4,12,0,0,0,1,0,1,52,23,75,2,1,6,24,16,26,0
Greater Norfolk,0,0,0,0,0,0,36,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,44,95,38,133,0,0,0,82,39,121,2,2,4,0,0,0,69,42,111,320,138,458,4,4,25,97,139,189,0
Peterborough,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,23,12,35,0,0,0,14,5,19,6,4,10,0,0,0,2,5,7,56,27,83,0,1,4,27,29,22,0
Southend-on-Sea,1,0,1,0,0,0,17,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,19,9,28,0,0,0,8,5,13,20,3,23,0,0,0,17,13,30,99,37,136,2,0,7,23,44,60,0
Suffolk,0,2,2,0,0,0,37,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,45,22,67,0,0,0,28,12,40,22,14,36,0,0,0,30,30,60,182,86,268,6,7,18,66,76,95,0
LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of London,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,5,1,6,0,0,0,2,1,3,0,0,0,0,0,0,2,1,3,17,3,20,0,0,3,8,7,2,0
East London,6,0,6,0,0,0,43,7,50,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,37,4,41,53,18,71,0,0,0,52,17,69,47,9,56,0,0,0,20,15,35,260,71,331,12,3,20,98,78,120,0
Inner North London,16,6,22,0,0,0,55,13,68,0,0,0,1,0,1,16,7,23,24,3,27,0,0,0,31,2,33,89,34,123,0,0,0,85,75,160,66,26,92,0,0,0,21,14,35,404,180,584,25,13,53,186,139,168,0
Inner South London,1,2,3,0,0,0,39,17,56,0,0,0,2,0,2,18,3,21,12,0,12,0,0,0,21,3,24,75,31,106,0,0,0,84,44,128,61,19,80,0,0,0,31,14,45,344,133,477,25,13,21,158,133,127,0
Inner West London,1,1,2,0,0,0,41,13,54,0,0,0,3,0,3,7,1,8,9,2,11,0,0,0,7,0,7,92,48,140,0,0,0,48,40,88,25,7,32,0,0,0,19,16,35,252,128,380,8,8,14,113,107,129,1
North London,5,2,7,0,0,0,19,2,21,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,26,1,27,81,40,121,0,0,0,80,61,141,62,22,84,0,0,0,40,38,78,318,166,484,16,8,32,140,115,172,1
South London,1,1,2,0,0,0,23,7,30,0,0,0,0,0,0,5,1,6,0,2,2,0,0,0,21,2,23,49,33,82,0,0,0,27,11,38,30,14,44,0,0,0,12,7,19,168,78,246,9,3,19,57,61,97,0
West London,1,0,1,0,1,1,65,26,91,0,0,0,0,0,0,4,0,4,2,0,2,0,0,0,20,6,26,98,38,136,0,0,0,69,26,95,21,13,34,0,0,0,39,22,61,319,132,451,8,8,21,127,137,149,1
SOUTH EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire,0,0,0,0,0,0,16,8,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,2,11,96,26,122,0,0,0,24,16,40,20,11,31,0,0,0,50,18,68,215,82,297,6,7,29,71,84,100,0
Brighton and Hove,1,1,2,0,0,0,20,8,28,0,0,0,3,3,6,14,3,17,0,0,0,0,0,0,5,2,7,52,45,97,0,0,0,14,10,24,15,7,22,0,0,0,10,5,15,134,84,218,3,2,10,52,59,92,0
Buckinghamshire,2,0,2,0,0,0,11,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,32,18,50,0,0,0,11,3,14,9,3,12,0,0,0,2,1,3,74,28,102,1,0,9,29,32,31,0
East Sussex,1,0,1,0,0,0,45,13,58,0,0,0,0,0,0,4,1,5,2,0,2,0,0,0,24,1,25,61,34,95,0,0,0,59,38,97,11,7,18,0,0,0,13,8,21,220,102,322,4,3,15,71,90,139,0
Central Hampshire,0,0,0,0,0,0,18,8,26,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,22,3,25,39,8,47,0,0,0,57,14,71,15,7,22,0,0,0,1,1,2,153,42,195,2,1,7,48,48,89,0
North East Hampshire,0,0,0,0,0,0,17,6,23,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,3,10,30,11,41,0,0,0,10,8,18,9,4,13,0,0,0,3,1,4,76,34,110,2,3,6,27,36,36,0
Portsmouth and South East Hampshire,0,0,0,0,0,0,41,14,55,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,52,4,56,79,34,113,0,0,0,118,36,154,5,4,9,0,0,0,13,17,30,312,109,421,4,6,23,69,93,226,0
Southampton and New Forest,2,1,3,0,0,0,15,9,24,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,21,3,24,39,28,67,0,0,0,33,21,54,10,1,11,0,0,0,13,5,18,137,69,206,11,3,9,47,55,81,0
Isle of Wight,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,7,1,8,19,10,29,0,0,0,6,3,9,8,3,11,0,0,0,0,1,1,51,21,72,0,1,8,18,25,20,0
Central and South East Kent,0,0,0,0,0,0,12,5,17,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,17,0,17,45,23,68,0,0,0,22,12,34,12,6,18,0,0,0,19,13,32,130,59,189,9,4,7,42,32,95,0
Mid Kent and Medway,1,0,1,0,0,0,32,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,60,44,24,68,0,0,0,34,13,47,13,3,16,0,0,0,16,10,26,190,67,257,7,1,9,65,62,113,0
North East Kent,2,0,2,0,0,0,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,53,25,78,0,0,0,37,18,55,12,8,20,0,0,0,12,9,21,146,66,212,1,4,7,40,54,106,0
North West Kent,3,2,5,0,0,0,22,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,30,46,22,68,0,0,0,48,25,73,15,9,24,0,0,0,1,0,1,160,70,230,2,3,24,38,55,108,0
Milton Keynes,0,0,0,0,0,0,14,4,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,8,0,8,22,19,41,0,0,0,30,6,36,7,1,8,0,0,0,5,0,5,88,30,118,5,7,6,23,22,55,0
Oxfordshire,1,0,1,0,0,0,24,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20,70,26,96,0,0,0,30,21,51,16,12,28,0,0,0,12,20,32,171,90,261,7,2,17,56,84,95,0
Surrey,3,0,3,1,0,1,41,12,53,0,0,0,0,1,1,5,1,6,2,0,2,0,0,0,50,6,56,74,44,118,0,0,0,49,36,85,56,18,74,0,0,0,11,6,17,292,124,416,6,7,21,102,116,164,0
West Sussex,0,0,0,0,0,0,28,8,36,0,0,0,0,0,0,2,1,3,3,0,3,0,0,0,22,5,27,67,29,96,0,0,0,29,20,49,8,6,14,0,0,0,15,17,32,174,86,260,3,5,31,50,65,106,0
SOUTH WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon,13,5,18,0,0,0,51,11,62,0,0,0,0,0,0,28,5,33,2,0,2,0,0,0,36,2,38,131,61,192,0,0,0,154,86,240,51,14,65,0,0,0,20,14,34,486,198,684,14,9,33,153,171,300,4
Cornwall,1,1,2,0,0,0,26,8,34,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,17,0,17,57,27,84,0,0,0,54,43,97,32,13,45,0,0,0,31,15,46,220,107,327,3,6,23,65,95,135,0
Exeter and Greater Devon,2,1,3,0,0,0,40,14,54,0,0,0,0,0,0,4,2,6,29,6,35,0,0,0,20,2,22,89,77,166,0,0,0,52,29,81,11,4,15,0,0,0,5,3,8,252,138,390,3,5,17,74,90,201,0
Plymouth and South West Devon,4,0,4,0,0,0,26,2,28,0,0,0,1,1,2,5,1,6,4,1,5,0,0,0,60,3,63,61,36,97,1,0,1,154,41,195,18,5,23,0,0,0,32,23,55,366,113,479,6,2,19,67,95,290,0
Torbay and South Devon,0,0,0,0,0,0,18,7,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,1,14,37,12,49,0,0,0,8,4,12,9,3,12,0,0,0,3,4,7,88,32,120,5,0,6,26,35,47,1
"Bournemouth, Poole and Eastern Dorset",0,0,0,0,0,0,16,9,25,0,0,0,0,0,0,5,0,5,1,0,1,0,0,0,13,1,14,25,16,41,0,0,0,23,6,29,11,6,17,0,0,0,17,4,21,111,42,153,4,0,6,41,37,64,1
Western Dorset,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,11,15,9,24,0,0,0,8,3,11,15,9,24,0,0,0,0,0,0,57,25,82,0,2,5,30,14,31,0
Gloucestershire,1,1,2,0,0,0,33,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,34,84,63,147,0,0,0,60,26,86,21,9,30,0,0,0,19,6,25,250,116,366,6,8,19,75,83,175,0
Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Somerset,0,0,0,0,0,0,16,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,24,12,36,0,0,0,34,19,53,9,3,12,0,0,0,15,3,18,102,38,140,0,2,3,39,37,59,0
Western Somerset,0,0,0,0,0,0,15,6,21,0,0,0,0,0,0,4,3,7,2,1,3,0,0,0,11,0,11,24,20,44,0,0,0,38,14,52,4,0,4,0,0,0,7,4,11,105,48,153,2,8,8,30,37,68,0
Wiltshire and Swindon,28,1,29,0,0,0,39,17,56,0,0,0,1,0,1,2,1,3,1,0,1,0,0,0,28,4,32,72,30,102,0,0,0,73,43,116,12,1,13,0,0,0,29,8,37,285,105,390,7,4,40,97,99,143,0
WALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgend and Glamorgan Valleys,1,0,1,0,0,0,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,47,21,68,0,0,0,28,10,38,15,4,19,0,0,0,24,4,28,136,45,181,3,2,26,51,37,62,0
