DAT,18-May-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Evaluation of Apprenticeships Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID,Table 1/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,BREAKS BY BREAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,Base: All Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1,,,Current or completer,,Level,,Broad framework area,,,,,,,,,Region,,,,,,,,,Age,,,Current employment status,,,,,Recruitment status,,Duration of less than 6 months,,Duration Summary,,Duration: Detail,,,,Employer SME,
RTV,,9%,9%,9%,7%,13%,0%,0%,0%,100%,0%,0%,0%,0%,0%,8%,8%,9%,7%,7%,9%,7%,12%,14%,18%,9%,2%,9%,9%,1%,8%,9%,5%,16%,2%,10%,1%,18%,2%,1%,13%,39%,14%,5%
PRC,Information and Communication Technology,15925,*11000,*4925,*7514,*8411,*-,*-,*-,*-,15925,*-,*-,*-,*-,*1963,*1663,1330,1221,2096,2123,*2567,1534,1427,*6917,4561,4447,*11000,*1781,21,351,21,*5151,*7087,1226,*10904,6975,*5155,1226,5749,5036,*119,*5358,6699
RTV,,3%,3%,5%,3%,5%,0%,0%,0%,0%,100%,0%,0%,0%,0%,6%,2%,2%,3%,4%,5%,7%,2%,3%,5%,3%,3%,3%,2%,1%,5%,4%,2%,5%,4%,3%,3%,2%,4%,3%,3%,*%,3%,3%
PRC,Retail and Commercial Enterprise,102995,81657,21338,*86727,*16268,*-,*-,*-,*-,*-,102995,*-,*-,*-,7467,17935,11402,8066,13408,*12373,7544,15441,*9360,*27986,35277,*39732,81657,*18527,389,*2053,46,*79885,*21304,*11267,*82607,*54482,*39392,*11267,*43215,37835,*1557,44646,*54912
RTV,,22%,22%,23%,30%,9%,0%,0%,0%,0%,0%,100%,0%,0%,0%,22%,22%,21%,19%,23%,28%,20%,24%,18%,20%,22%,24%,22%,24%,17%,29%,8%,27%,14%,35%,21%,26%,18%,35%,24%,21%,4%,21%,24%
PRC,"Leisure, Travel and Tourism",17943,14070,3873,12192,5751,*-,*-,*-,*-,*-,*-,17943,*-,*-,*613,3303,1653,1351,1779,1434,*2537,*3546,1727,6513,*8745,*2685,14070,2869,*285,253,21,*8319,*8153,1681,*14119,*10056,*5744,1681,*8376,5744,*-,*5756,*10273
RTV,,4%,4%,4%,4%,3%,0%,0%,0%,0%,0%,0%,100%,0%,0%,2%,4%,3%,3%,3%,3%,7%,5%,3%,5%,5%,2%,4%,4%,13%,4%,4%,3%,5%,5%,4%,5%,3%,5%,5%,3%,0%,3%,4%
PRC,"Business, Administration and Law",122613,*95127,*27486,*79352,*43261,*-,*-,*-,*-,*-,*-,*-,122613,*-,9439,20619,15079,*14270,*17605,*7805,9681,15151,12964,*23374,41076,*58163,*95127,*21731,654,2017,153,*86219,*28844,9663,101916,*79356,*32224,9663,*69692,*32108,*116,*40598,*73071
RTV,,26%,25%,29%,27%,24%,0%,0%,0%,0%,0%,0%,0%,100%,0%,28%,25%,28%,33%,31%,17%,25%,23%,25%,16%,26%,35%,25%,28%,29%,29%,27%,30%,19%,30%,26%,38%,15%,30%,39%,18%,*%,19%,31%
PRC,Other Apprenticeship,4751,*4320,*431,*1163,*3588,*-,0,*-,*-,*-,*-,0,*-,4751,104,852,285,599,276,322,*1146,687,478,*744,*863,*3144,*4320,*327,11,65,0,*3683,*951,172,*4467,2134,2505,172,1962,*2505,*-,*3344,*1254
RTV,,1%,1%,*%,*%,2%,0%,0%,0%,0%,0%,0%,0%,0%,100%,*%,1%,1%,1%,*%,1%,3%,1%,1%,1%,1%,2%,1%,*%,*%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,2%,1%
ROW1,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,North East,33758,27409,6348,*18744,*15014,6465,*239,4879,2589,*1963,7467,*613,9439,*104,33758,*-,*-,*-,*-,*-,*-,*-,*-,9502,11558,12698,27409,4599,186,602,43,*17716,*13355,*3319,*26959,15293,14985,*3319,11974,12170,2815,14334,16435
RTV,,7%,7%,7%,6%,8%,8%,3%,7%,6%,12%,7%,3%,8%,2%,100%,0%,0%,0%,0%,0%,0%,0%,0%,7%,7%,8%,7%,6%,8%,9%,8%,6%,9%,10%,7%,7%,7%,10%,7%,7%,8%,7%,7%
PRC,North West,81087,65838,15249,50869,30218,15704,*1133,13260,6617,*1663,17935,3303,20619,852,*-,81087,*-,*-,*-,*-,*-,*-,*-,22677,27218,31191,65838,*11722,422,1376,122,*53810,*22598,4716,67890,36575,36031,4716,31858,29684,6347,36536,38790
RTV,,17%,18%,16%,18%,17%,18%,13%,20%,15%,10%,17%,18%,17%,18%,0%,100%,0%,0%,0%,0%,0%,0%,0%,16%,17%,19%,18%,15%,19%,19%,22%,18%,15%,15%,17%,17%,17%,15%,18%,16%,17%,18%,17%
PRC,Yorkshire and the Humber,54448,44209,10239,32520,21928,9224,1197,*9565,4713,1330,11402,1653,15079,*285,*-,*-,54448,*-,*-,*-,*-,*-,*-,16722,*15989,*21737,44209,8785,124,617,70,34337,18816,3622,46899,23120,*27401,3622,19498,22109,5292,24109,28779
RTV,,12%,12%,11%,11%,12%,11%,14%,14%,11%,8%,11%,9%,12%,6%,0%,0%,100%,0%,0%,0%,0%,0%,0%,12%,10%,13%,12%,11%,6%,9%,12%,12%,12%,11%,12%,11%,13%,11%,11%,12%,14%,12%,12%
PRC,East Midlands,43132,34541,8591,26842,16290,*6260,1008,7316,3042,1221,8066,1351,*14270,599,*-,*-,*-,43132,*-,*-,*-,*-,*-,13284,14479,15369,34541,6750,254,855,0,27445,13186,3085,36154,*21536,*17703,3085,*18451,*14031,3672,18399,21732
RTV,,9%,9%,9%,9%,9%,7%,12%,11%,7%,8%,8%,8%,12%,13%,0%,0%,0%,100%,0%,0%,0%,0%,0%,9%,9%,9%,9%,9%,11%,12%,0%,9%,9%,10%,9%,10%,8%,10%,10%,8%,10%,9%,9%
PRC,West Midlands,57104,45310,11793,35952,21152,11007,944,*6105,*3884,2096,13408,1779,*17605,*276,*-,*-,*-,*-,57104,*-,*-,*-,*-,16767,19131,21205,45310,9070,331,1042,49,34095,19176,*5408,*45813,*29724,*21497,*5408,*24316,*18395,*3102,*22251,*30501
RTV,,12%,12%,12%,12%,12%,13%,11%,9%,9%,13%,13%,10%,14%,6%,0%,0%,0%,0%,100%,0%,0%,0%,0%,12%,12%,13%,12%,12%,15%,15%,9%,12%,13%,17%,12%,14%,10%,17%,14%,10%,8%,11%,13%
PRC,East of England,44767,35256,9511,28398,16369,8467,*1268,6808,4167,*2123,*12373,1434,*7805,322,*-,*-,*-,*-,*-,44767,*-,*-,*-,*17570,14123,*13074,35256,8168,69,798,21,28462,13864,2282,38076,18151,22207,2282,15869,*19259,2949,21471,20495
RTV,,10%,9%,10%,10%,9%,10%,15%,10%,10%,13%,12%,8%,6%,7%,0%,0%,0%,0%,0%,100%,0%,0%,0%,12%,9%,8%,9%,11%,3%,11%,4%,10%,9%,7%,10%,9%,10%,7%,9%,11%,8%,10%,9%
PRC,London,38165,31134,7032,25189,12976,7905,558,*3519,2708,*2567,7544,*2537,9681,*1146,*-,*-,*-,*-,*-,*-,38165,*-,*-,*9876,12859,*15430,31134,5309,*375,500,42,23523,12450,*4127,31282,*20340,*15068,*4127,16214,13375,*1693,15944,20273
RTV,,8%,8%,7%,9%,7%,9%,6%,5%,6%,16%,7%,14%,8%,24%,0%,0%,0%,0%,0%,0%,100%,0%,0%,7%,8%,9%,8%,7%,17%,7%,7%,8%,8%,13%,8%,10%,7%,13%,9%,7%,5%,8%,9%
PRC,South East,65121,51982,13139,40956,24165,12519,1186,*7104,*7953,*1534,15441,*3546,15151,687,*-,*-,*-,*-,*-,*-,*-,65121,*-,20457,*26535,*18129,51982,11132,345,*549,99,40272,21895,*2717,*57129,*26784,*33062,*2717,24067,*28134,4928,30091,31235
RTV,,14%,14%,14%,14%,13%,15%,14%,11%,18%,10%,15%,20%,12%,14%,0%,0%,0%,0%,0%,0%,0%,100%,0%,14%,17%,11%,14%,15%,15%,8%,17%,14%,14%,8%,14%,13%,15%,8%,13%,16%,13%,14%,13%
PRC,South West,51990,*39312,*12678,*29734,*22256,8591,1170,8738,*7535,1427,*9360,1727,12964,478,*-,*-,*-,*-,*-,*-,*-,*-,51990,15555,18459,17975,*39312,*10863,126,730,119,31939,17784,2826,*45268,*19010,*29084,2826,*16184,*23252,*5832,*25148,24151
RTV,,11%,10%,13%,10%,12%,10%,13%,13%,17%,9%,9%,10%,11%,10%,0%,0%,0%,0%,0%,0%,0%,0%,100%,11%,12%,11%,10%,14%,6%,10%,21%,11%,12%,9%,11%,9%,13%,9%,9%,13%,16%,12%,10%
ROW1,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Under 19,142410,*108235,*34174,*94238,*48172,*15767,*3788,*31695,*25626,*6917,*27986,*6513,*23374,*744,9502,22677,16722,13284,16767,*17570,*9876,20457,15555,142410,*-,*-,*108235,*25125,*1247,*2771,95,*39965,*89520,*5482,121978,*37902,*89558,*5482,*32420,*66840,*22718,*81543,*44998
RTV,,30%,29%,36%,33%,27%,18%,44%,47%,59%,43%,27%,36%,19%,16%,28%,28%,31%,31%,29%,39%,26%,31%,30%,100%,0%,0%,29%,33%,56%,39%,17%,14%,58%,17%,31%,18%,41%,17%,18%,37%,62%,39%,19%
PRC,19 to 24,160353,*119895,*40457,*93515,*66837,29893,3412,22388,14138,*4561,35277,*8745,41076,*863,11558,27218,*15989,14479,19131,14123,12859,*26535,18459,*-,160353,*-,*119895,*33494,890,*3365,317,98851,*55207,10764,*138523,69599,*79688,10764,58835,*66804,12884,68232,*83174
RTV,,34%,32%,43%,32%,37%,35%,39%,33%,33%,29%,34%,49%,34%,18%,34%,34%,29%,34%,34%,32%,34%,41%,36%,0%,100%,0%,32%,44%,40%,48%,56%,34%,36%,34%,35%,33%,37%,34%,33%,37%,35%,33%,36%
PRC,25+,166809,*146861,*19948,101451,65358,*40481,*1503,*13211,*3443,*4447,*39732,*2685,*58163,*3144,12698,31191,*21737,15369,21205,*13074,*15430,*18129,17975,*-,*-,166809,*146861,*17779,*95,*933,153,*152781,*8395,*15854,*134969,*103031,*47793,*15854,*87177,*46765,*1028,*58507,*104221
RTV,,36%,39%,21%,35%,36%,47%,17%,20%,8%,28%,39%,15%,47%,66%,38%,38%,40%,36%,37%,29%,40%,28%,35%,0%,0%,100%,39%,23%,4%,13%,27%,52%,5%,49%,34%,49%,22%,49%,49%,26%,3%,28%,45%
ROW1,Current employment status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Current Apprentice,374992,374992,*-,229300,145692,*73024,*6516,54310,34968,*11000,81657,14070,*95127,*4320,27409,65838,44209,34541,45310,35256,31134,51982,*39312,*108235,*119895,*146861,374992,*-,*-,*-,*-,*238321,120764,*24130,*320238,168334,*176033,*24130,144204,144860,*31174,*173303,*190975
RTV,,80%,100%,0%,79%,81%,85%,75%,81%,81%,69%,79%,78%,78%,91%,81%,81%,81%,80%,79%,79%,82%,80%,76%,76%,75%,88%,100%,0%,0%,0%,0%,82%,79%,75%,81%,80%,81%,75%,81%,80%,85%,83%,82%
PRC,In work,76398,*-,76398,47998,28400,*11312,*1947,10960,6944,*1781,18527,2869,21731,*327,4599,11722,8785,6750,9070,8168,5309,11132,*10863,25125,*33494,*17779,*-,76398,*-,*-,0,48533,*27236,*6543,*67195,36485,37253,*6543,29942,*32132,5121,34980,*41418
RTV,,16%,0%,81%,17%,16%,13%,22%,16%,16%,11%,18%,16%,18%,7%,14%,14%,16%,16%,16%,18%,14%,17%,21%,18%,21%,11%,0%,100%,0%,0%,0%,17%,18%,20%,17%,17%,17%,20%,17%,18%,14%,17%,18%
PRC,In education or training,2233,*-,2233,1667,566,399,37,412,24,21,389,*285,654,11,186,422,124,254,331,69,375,345,126,*1247,890,*95,*-,*-,2233,0,0,1181,1052,208,1982,1175,1015,208,967,878,137,*-,*-
RTV,,*%,0%,2%,1%,*%,*%,*%,1%,*%,*%,*%,2%,1%,*%,1%,1%,*%,1%,1%,*%,1%,1%,*%,1%,1%,*%,0%,0%,100%,0%,0%,*%,1%,1%,1%,1%,*%,1%,1%,*%,*%,0%,0%
PRC,Unemployed,7069,*-,7069,*5517,*1551,979,106,696,547,351,2053,253,2017,65,602,1376,617,855,1042,798,500,549,730,2771,*3365,*933,*-,*-,0,7069,0,*3117,*3916,*1156,5487,*4045,2597,*1156,2889,2400,198,*-,*-
RTV,,2%,0%,7%,2%,1%,1%,1%,1%,1%,2%,2%,1%,2%,1%,2%,2%,1%,2%,2%,2%,1%,1%,1%,2%,2%,1%,0%,0%,0%,100%,0%,1%,3%,4%,1%,2%,1%,4%,2%,1%,1%,0%,0%
PRC,Other,565,*-,565,480,85,263,11,0,50,21,46,21,153,0,43,122,70,0,49,21,42,99,119,95,317,153,*-,0,0,0,565,424,141,63,502,461,105,63,398,105,0,*-,*-
RTV,,*%,0%,1%,*%,*%,*%,*%,0%,*%,*%,*%,*%,*%,0%,*%,*%,*%,0%,*%,*%,*%,*%,*%,*%,*%,*%,0%,0%,0%,0%,100%,*%,*%,*%,*%,*%,*%,*%,*%,*%,0%,0%,0%
ROW1,Recruitment status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Already working for employer when Apprenticeship started,291598,*238321,*53277,*183644,*107953,*63924,*4930,*24026,*15461,*5151,*79885,*8319,*86219,*3683,*17716,*53810,34337,27445,34095,28462,23523,40272,31939,*39965,98851,*152781,*238321,48533,1181,*3117,424,291598,*-,*25499,245317,*161959,*108857,*25499,*136460,*101184,*7673,*125191,*161663
RTV,,62%,64%,56%,63%,60%,74%,57%,36%,36%,32%,78%,46%,70%,78%,52%,66%,63%,64%,60%,64%,62%,62%,61%,28%,62%,92%,64%,64%,53%,44%,75%,100%,0%,79%,62%,77%,50%,79%,76%,56%,21%,60%,70%
PRC,Recruited specifically as an Apprentice,153122,120764,32358,*90872,*62251,*18880,*3279,*40193,*24432,*7087,*21304,*8153,*28844,*951,*13355,*22598,18816,13186,19176,13864,12450,21895,17784,*89520,*55207,*8395,120764,*27236,*1052,*3916,141,*-,153122,*6148,*145143,*45475,*105816,*6148,*39327,*77137,*28679,*79293,*68707
RTV,,33%,32%,34%,31%,35%,22%,38%,60%,57%,44%,21%,45%,24%,20%,40%,28%,35%,31%,34%,31%,33%,34%,34%,63%,34%,5%,32%,36%,47%,55%,25%,0%,100%,19%,37%,22%,49%,19%,22%,43%,78%,38%,30%
ROW1,Duration of less than 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Less than 6 months,32101,*24130,*7971,*27118,*4983,*4088,*108,*3312,*583,1226,*11267,1681,9663,172,*3319,4716,3622,3085,*5408,2282,*4127,*2717,2826,*5482,10764,*15854,*24130,*6543,208,*1156,63,*25499,*6148,32101,*-,32101,*-,32101,*-,*-,*-,*8952,*21721
RTV,,7%,6%,8%,9%,3%,5%,1%,5%,1%,8%,11%,9%,8%,4%,10%,6%,7%,7%,9%,5%,11%,4%,5%,4%,7%,10%,6%,9%,9%,16%,11%,9%,4%,100%,0%,15%,0%,100%,0%,0%,0%,4%,9%
PRC,6 months or more,395469,*320238,*75232,*233884,*161585,74482,*8242,*59179,*39553,*10904,*82607,*14119,101916,*4467,*26959,67890,46899,36154,*45813,38076,31282,*57129,*45268,121978,*138523,*134969,*320238,*67195,1982,*5487,502,245317,*145143,*-,395469,178431,*217038,*-,*178431,*180409,*36629,*192004,195429
RTV,,84%,85%,80%,81%,90%,86%,95%,88%,92%,68%,80%,79%,83%,94%,80%,84%,86%,84%,80%,85%,82%,88%,87%,86%,86%,81%,85%,88%,89%,78%,89%,84%,95%,0%,100%,85%,100%,0%,100%,100%,100%,92%,84%
ROW1,Duration Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Less than 1yr,210532,168334,42198,*158771,*51761,*42931,*2127,*10620,*1851,6975,*54482,*10056,*79356,2134,15293,36575,23120,*21536,*29724,*18151,*20340,*26784,*19010,*37902,69599,*103031,168334,*36485,1175,*4045,*461,*161959,*45475,*32101,178431,210532,*-,*32101,*178431,*-,*-,*82949,*121871
RTV,,45%,45%,45%,55%,29%,50%,24%,16%,4%,44%,53%,56%,65%,45%,45%,45%,42%,50%,52%,41%,53%,41%,37%,27%,43%,62%,45%,48%,53%,57%,81%,56%,30%,100%,45%,100%,0%,100%,100%,0%,0%,40%,52%
PRC,1yr plus,217038,*176033,*41005,*102231,*114807,*35638,*6224,*51871,*38285,*5155,*39392,*5744,*32224,2505,14985,36031,*27401,*17703,*21497,22207,*15068,*33062,*29084,*89558,*79688,*47793,*176033,*37253,1015,*2597,*105,*108857,*105816,*-,217038,*-,217038,*-,*-,*180409,*36629,*118007,*95279
RTV,,46%,47%,43%,35%,64%,41%,72%,77%,89%,32%,38%,32%,26%,53%,44%,44%,50%,41%,38%,50%,39%,51%,56%,63%,50%,29%,47%,49%,45%,37%,19%,37%,69%,0%,55%,0%,100%,0%,0%,100%,100%,57%,41%
ROW1,Duration: Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Less than 6 months,32101,*24130,*7971,*27118,*4983,*4088,*108,*3312,*583,1226,*11267,1681,9663,172,*3319,4716,3622,3085,*5408,2282,*4127,*2717,2826,*5482,10764,*15854,*24130,*6543,208,*1156,63,*25499,*6148,32101,*-,32101,*-,32101,*-,*-,*-,*8952,*21721
RTV,,7%,6%,8%,9%,3%,5%,1%,5%,1%,8%,11%,9%,8%,4%,10%,6%,7%,7%,9%,5%,11%,4%,5%,4%,7%,10%,6%,9%,9%,16%,11%,9%,4%,100%,0%,15%,0%,100%,0%,0%,0%,4%,9%
PRC,6 months to 1 year,178431,144204,34227,*131653,*46778,*38843,*2019,*7308,*1268,5749,*43215,*8376,*69692,1962,11974,31858,19498,*18451,*24316,15869,*16214,24067,*16184,*32420,58835,*87177,144204,29942,967,2889,*398,*136460,*39327,*-,178431,178431,*-,*-,178431,*-,*-,*73997,*100150
RTV,,38%,38%,36%,46%,26%,45%,23%,11%,3%,36%,42%,47%,57%,41%,35%,39%,36%,43%,43%,35%,42%,37%,31%,23%,37%,52%,38%,39%,43%,41%,70%,47%,26%,0%,45%,85%,0%,0%,100%,0%,0%,36%,43%
PRC,1 year to 3 years,180409,144860,35549,*94570,*85838,35405,*5623,*32138,*24016,*5036,37835,*5744,*32108,*2505,12170,29684,22109,*14031,*18395,*19259,13375,*28134,*23252,*66840,*66804,*46765,144860,*32132,878,2400,105,*101184,*77137,*-,180409,*-,180409,*-,*-,180409,*-,*99614,*77378
RTV,,38%,39%,38%,33%,48%,41%,65%,48%,56%,32%,37%,32%,26%,53%,36%,37%,41%,33%,32%,43%,35%,43%,45%,47%,42%,28%,39%,42%,39%,34%,19%,35%,50%,0%,46%,0%,83%,0%,0%,100%,0%,48%,33%
PRC,3 year plus,36629,*31174,*5455,*7660,*28969,*233,601,*19733,*14269,*119,*1557,*-,*116,*-,2815,6347,5292,3672,*3102,2949,*1693,4928,*5832,*22718,12884,*1028,*31174,5121,137,*198,0,*7673,*28679,*-,36629,*-,36629,*-,*-,*-,36629,*18393,17902
RTV,,8%,8%,6%,3%,16%,*%,7%,29%,33%,1%,2%,0%,*%,0%,8%,8%,10%,9%,5%,7%,4%,8%,11%,16%,8%,1%,8%,7%,6%,3%,0%,3%,19%,0%,9%,0%,17%,0%,0%,0%,100%,9%,8%
ROW1,Employer SME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,SME,208283,*173303,*34980,*123602,*84681,*45188,*6406,27801,*29186,*5358,44646,*5756,*40598,*3344,14334,36536,24109,18399,*22251,21471,15944,30091,*25148,*81543,68232,*58507,*173303,34980,*-,*-,*-,*125191,*79293,*8952,*192004,*82949,*118007,*8952,*73997,*99614,*18393,208283,*-
