SIC 2007 codes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
172 : Manufacture of articles of paper and paperboard,"5,400","5,100","4,900","4,800","3,800","3,400","2,700","2,500","1,800","2,100","2,100",600,,"1,200",800,400
181 : Printing and service activities related to printing,"41,100","45,000","40,300","38,500","36,100","34,900","32,300","31,100","27,400","27,300","24,400","14,500","16,900","12,100","13,500","10,600"
182 : Reproduction of recorded media,"3,300","4,100","4,500","3,900","3,400","3,600","3,500","2,600","2,700","2,300","2,200",900,"1,200","1,000","1,100",900
191 : Manufacture of coke oven products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
192 : Manufacture of refined petroleum products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"201 : Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
202 : Manufacture of pesticides and other agrochemical products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"203 : Manufacture of paints, varnishes and similar coatings, printing ink and mastics","2,200","2,100","2,100","1,800","1,400","1,400","1,300","1,200","1,200","1,100","1,100","1,100","1,300",800,400,500
"204 : Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","2,900","2,600","3,100","2,700","1,900","1,700","1,400","1,400","1,500",900,500,900,"4,100",800,400,700
205 : Manufacture of other chemical products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
206 : Manufacture of man-made fibres,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
211 : Manufacture of basic pharmaceutical products,400,"1,000","1,400",500,"3,500","1,600","1,700","1,000","1,100",200,…,0,200,100,300,200
212 : Manufacture of pharmaceutical preparations,"2,900","3,800","3,500","4,000","2,100","2,100","2,100","1,900","1,800","2,400",…,"1,400","2,300","1,800","1,200",600
221 : Manufacture of rubber products,"2,000","1,400","1,900","1,400","1,300","1,200","1,200",900,600,500,500,100,200,300,200,100
222 : Manufacture of plastics products,"12,800","11,700","12,800","10,600","10,100","9,600","9,100","8,300","7,500","6,300","6,000","3,700","3,200","5,900","3,900","3,400"
231 : Manufacture of glass and glass products,"1,500","1,600","1,600","1,600","1,400","1,400","1,300","1,200","1,300","1,300","1,300","2,400","1,500","1,400","1,300","1,600"
232 : Manufacture of refractory products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
233 : Manufacture of clay building materials,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
234 : Manufacture of other porcelain and ceramic products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"235 : Manufacture of cement, lime and plaster",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"236 : Manufacture of articles of concrete, cement and plaster",700,600,700,600,500,500,500,400,400,500,600,"1,100",700,700,500,600
"237 : Cutting, shaping and finishing of stone",500,500,800,700,700,800,800,700,600,600,600,"1,900","1,100",900,600,"1,000"
239 : Manufacture of abrasive products and non-metallic mineral products n.e.c.,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
241 : Manufacture of basic iron and steel and of ferro-alloys,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"242 : Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
243 : Manufacture of other products of first processing of steel,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
244 : Manufacture of basic precious and other non-ferrous metals,"1,000",800,600,500,400,400,400,300,300,300,300,300,400,600,400,800
245 : Casting of metals,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
251 : Manufacture of structural metal products,"3,000","2,800","3,400","3,400","2,900","2,700","2,900","2,700","2,200","2,400","2,800","2,700","1,800","3,800","1,700","3,000"
"252 : Manufacture of tanks, reservoirs and containers of metal",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"253 : Manufacture of steam generators, except central heating hot water boilers",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
254 : Manufacture of weapons and ammunition,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"255 : Forging, pressing, stamping and roll-forming of metal; powder metallurgy","1,100",900,"1,200",800,500,400,300,300,400,200,200,200,100,300,200,200
256 : Treatment and coating of metals; machining,"6,500","7,000","8,000","6,900","5,500","5,000","4,300","3,900","3,900","3,500","3,900","3,000","2,200","5,200","2,900","4,200"
"257 : Manufacture of cutlery, tools and general hardware","2,400","2,100","2,300","2,000","2,100","2,000","1,800","1,500","1,400",900,"1,100",800,500,"1,200",600,"1,000"
259 : Manufacture of other fabricated metal products,"4,400","4,300","4,500","3,900","2,900","2,700","2,400","1,900","1,800","1,700","2,000","1,400",900,"2,600","1,200","1,800"
261 : Manufacture of electronic components and boards,"1,700","2,000","1,800","1,800","1,200","1,000",900,"1,000",900,700,"1,000",700,500,800,400,"1,000"
262 : Manufacture of computers and peripheral equipment,"2,300","2,000","2,000","3,000","1,800","1,700","2,100","2,000","2,100","1,600",700,"1,000",600,700,400,900
263 : Manufacture of communication equipment,"2,500","2,200","3,100","2,800","2,100","1,700","1,600","1,400","1,400","1,500","1,000","1,300","1,000","1,300",900,"1,400"
264 : Manufacture of consumer electronics,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"265 : Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"266 : Manufacture of irradiation, electromedical and electrotherapeutic equipment",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
267 : Manufacture of optical instruments and photographic equipment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
268 : Manufacture of magnetic and optical media,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"271 : Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","2,800","3,300","2,700","2,700","2,800","2,200","2,100","1,700","1,700","1,700","1,800",800,700,"1,200","1,200","1,100"
272 : Manufacture of batteries and accumulators,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
273 : Manufacture of wiring and wiring devices,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
274 : Manufacture of electric lighting equipment,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
275 : Manufacture of domestic appliances,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
279 : Manufacture of other electrical equipment,"1,300","1,100","1,300","1,300","1,100","1,000","1,000",900,900,700,800,400,300,400,500,500
281 : Manufacture of general purpose machinery,"1,000","1,100","1,100",900,800,800,800,800,700,800,800,900,800,700,"1,300",600
282 : Manufacture of other general-purpose machinery,"4,300","5,200","5,000","4,900","3,700","3,400","3,800","4,100","3,400","4,400","2,200","1,900","1,600",800,"2,900",800
283 : Manufacture of agricultural and forestry machinery,0,0,0,0,0,0,0,0,0,…,…,…,…,…,…,…
284 : Manufacture of metal forming machinery and machine tools,900,700,600,600,600,400,400,200,200,…,…,…,…,…,…,…
289 : Manufacture of other special-purpose machinery,"2,400","2,900","2,500","2,400","2,600","2,100","2,000","1,600","1,600",…,…,…,…,…,…,…
291 : Manufacture of motor vehicles,"10,800","10,300","7,100","6,100","5,400","5,400","5,100","5,100","4,600",…,…,…,…,…,…,…
292 : Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semitrailers,300,300,200,200,200,300,200,200,200,…,…,…,…,…,…,…
293 : Manufacture of parts and accessories for motor vehicles,"2,300","2,500","3,800","3,400","2,400","1,700","1,600","1,300","1,300",…,…,…,…,…,…,…
301 : Building of ships and boats,400,400,"1,000",300,300,200,200,200,200,300,300,100,0,0,400,0
302 : Manufacture of railway locomotives and rolling stock,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
303 : Manufacture of air and spacecraft and related machinery,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
304 : Manufacture of military fighting vehicles,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
309 : Manufacture of transport equipment n.e.c.,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
310 : Manufacture of furniture,"4,500","4,500","4,200","3,800","3,300","3,100","3,100","2,900","2,600","2,100","1,900","9,800","4,300","2,800","3,200","6,500"
"321 : Manufacture of jewellery, bijouterie and related articles","2,200","2,300","2,200","2,100","1,900","1,800","1,900","1,800","1,700","1,400","1,600","1,700","1,600","1,100","2,500",500
322 : Manufacture of musical instruments,400,400,300,100,100,100,100,100,100,100,100,100,100,100,100,0
323 : Manufacture of sports goods,200,200,200,200,100,100,200,200,200,200,300,200,200,100,200,0
324 : Manufacture of games and toys,900,700,800,800,700,800,700,800,900,700,400,500,400,300,500,100
325 : Manufacture of medical and dental instruments and supplies,"1,900","2,000","1,900","1,800","1,900","1,600","1,600","1,400","1,600","1,800","1,400","1,700","1,600","1,100","2,300",600
329 : Other manufacturing,"3,200","3,400","3,300","2,800","2,300","2,100","2,000","2,000","1,800","1,400","1,400","2,000","1,800","1,200","3,200",600
"331 : Repair of fabricated metal products, machinery and equipment","3,500","3,700","3,700","4,000","3,700","3,300","3,600","3,100","3,100","2,800","6,200","4,700","9,100","5,100","5,400","6,600"
332 : Installation of industrial machinery and equipment,900,"1,000","1,400","1,200",800,700,600,500,500,500,500,400,"1,000",700,600,600
"351 : Electric power generation, transmission and distribution","4,600","5,400","7,100","5,300","4,600","3,900","3,300","2,200","3,300","4,200","5,600","4,400","4,700","6,900","4,500","5,000"
352 : Manufacture of gas; distribution of gaseous fuels through mains,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
353 : Steam and air conditioning supply,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"360 : Water collection, treatment and supply",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
370 : Sewerage,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
381 : Waste collection,"9,100","8,900","9,500","9,300","8,400","7,600","7,700","8,000","7,700","7,200","9,600","6,200","10,200","8,600","9,000","9,700"
382 : Waste treatment and disposal,"2,000","1,900","2,000","2,000",…,…,…,…,…,…,…,"4,200","2,000","3,100","1,400","2,700"
383 : Materials recovery,600,900,700,900,…,…,…,…,…,…,…,"1,300","3,100","1,600","3,600","1,100"
390 : Remediation activities and other waste management services,…,…,…,…,…,…,…,…,…,…,…,700,200,"1,500","1,300",200
411 : Development of building projects,"25,100","23,300","27,100","25,200","21,600","22,400","22,800","24,500","23,200","22,200","25,800","19,600","16,900","19,200","19,400","16,700"
412 : Construction of residential and non-residential buildings,"37,700","34,400","34,400","36,600","31,100","31,300","30,100","29,000","30,400","27,500","29,800","33,200","34,200","29,600","30,700","33,700"
421 : Construction of roads and railways,"3,000","3,500","6,900","4,500","9,700","6,300","3,900","3,200","3,600",…,…,"4,500","4,500","5,300","5,100",…
422 : Construction of utility projects,100,100,100,100,100,100,100,100,100,…,…,100,200,800,700,…
429 : Construction of other civil engineering projects,"30,200","27,700","28,000","29,800","25,700","25,800","24,200","23,200","24,400",…,…,"14,100","11,600","12,200","14,500","9,700"
431 : Demolition and site preparation,"2,100","2,100","2,100","3,000","2,300","2,700","2,700","2,300","2,600","2,500","1,600","1,100","1,600","2,900","1,300","1,000"
"432 : Electrical, plumbing and other construction installation activities","29,300","27,100","30,900","33,600","30,900","32,300","34,300","34,200","37,300","37,900","38,600","39,000","37,300","35,600","35,900","46,300"
433 : Building completion and finishing,"17,200","17,200","22,400","20,900","18,700","20,500","20,200","19,800","21,900","23,500","25,800","17,000","14,800","13,100","25,300","18,600"
439 : Other specialised construction activities n.e.c.,"13,200","12,200","10,600","12,100","11,600","12,200","13,300","13,000","13,700","13,800","13,800","12,900","11,100","11,700","18,800","12,400"
451 : Sale of motor vehicles,"23,500","24,200","23,200","22,200","21,800","22,200","20,300","19,500","17,600","16,500","13,500","13,200","12,600","7,700","8,500","12,100"
452 : Maintenance and repair of motor vehicles,"17,900","19,700","19,600","21,000","22,000","20,600","18,000","19,600","16,600","16,400","18,900","18,400","15,800","17,800","15,600","14,900"
453 : Sale of motor vehicle parts and accessories,"13,300","11,400","10,700","10,500","9,800","9,000","8,900","10,100","9,200","8,600","10,000","9,200","6,600","6,400","6,500","6,500"
"454 : Sale, maintenance and repair of motorcycles and related parts and accessories","1,400","1,600","1,500","2,000","1,700","1,600","1,300","1,600","1,300","1,600","1,400",900,900,300,300,"1,000"
461 : Wholesale on a fee or contract basis,"9,800","10,600","12,400","9,200","10,400","11,600","11,100","11,300","12,000","13,200","13,200","10,300","7,100","7,300","19,000","11,900"
462 : Wholesale of agricultural raw materials and live animals,"1,300","1,300","1,500","1,400","1,400","1,500","1,500","1,400","1,200","1,200","1,200",900,"1,300",600,200,800
"463 : Wholesale of food, beverages and tobacco","26,500","27,300","27,800","25,700","25,600","26,100","27,400","26,700","27,400","27,400","28,900","21,400","23,800","30,900","39,200","33,500"
464 : Wholesale of household goods,"53,700","58,400","64,000","57,200","56,600","56,300","58,300","55,400","54,600","53,400","49,100","41,900","47,300","40,200","44,300","49,800"
465 : Wholesale of information and communication equipment,"18,900","21,100","17,800","18,800","16,300","11,800","11,100","10,800","9,700","10,000","9,600","12,200","10,000","11,700","8,700","14,300"
"466 : Wholesale of other machinery, equipment and supplies","14,600","14,700","15,700","16,100","14,600","13,300","12,700","12,700","13,400","12,600","12,300","14,000","15,000","19,500","10,200","9,600"
467 : Other specialised wholesale,"29,000","30,700","29,700","27,000","24,900","24,900","24,200","23,000","23,500","24,300","23,600","24,500","22,400","27,100","21,800","24,900"
469 : Non-specialised wholesale trade,"19,600","17,800","19,200","17,600","16,300","16,100","15,200","13,600","13,600","12,600","11,200","11,200","8,600","6,500","12,100","15,700"
471 : Retail sale in non-specialised stores,"131,500","135,700","145,500","150,400","156,200","139,700","152,900","143,300","138,000","145,600","144,500","152,000","158,300","143,100","155,200","157,400"
"472 : Retail sale of food, beverages and tobacco in specialised stores","25,200","27,900","27,400","25,900","24,800","23,400","20,800","21,100","21,100","19,200","20,100","23,800","15,500","18,600","26,500","25,200"
473 : Retail sale of automotive fuel in specialised stores,"7,700","7,300","7,000","6,600","7,400","5,800","5,300","4,400","4,600","4,700","4,300","2,600","6,100","3,300","2,900","4,200"
474 : Retail sale of information and communication equipment in specialised stores,"10,400","12,100","13,300","13,700","13,500","13,100","13,100","13,600","14,400","13,700","14,700","13,500","14,300","10,200","9,000","9,800"
475 : Retail sale of other household equipment in specialised stores,"37,100","42,000","38,700","40,500","39,700","37,700","39,600","39,100","37,600","37,500","36,400","35,700","36,300","29,400","27,500","27,500"
476 : Retail sale of cultural and recreation goods in specialised stores,"21,600","23,200","24,100","23,800","23,400","22,700","22,100","23,000","23,000","22,300","21,900","26,600","21,600","21,200","21,200","20,600"
477 : Retail sale of other goods in specialised stores,"102,000","115,400","111,500","112,900","104,900","119,400","108,400","123,100","136,000","133,200","136,600","118,300","106,300","130,100","133,100","125,300"
478 : Retail sale via stalls and markets,400,500,500,500,400,400,500,600,700,500,400,400,400,"1,000","1,000",900
"479 : Retail trade not in stores, stalls or markets","8,000","9,500","12,900","13,200","10,900","9,300","9,800","9,900","8,800","9,100","12,600","7,400","8,900","12,100","13,300","17,300"
"491 : Passenger rail transport, interurban","18,400","21,100","17,200","15,800","12,100","11,700","15,200","15,300","14,800","13,300","12,400","11,700","11,500","10,800","11,500","11,400"
492 : Freight rail transport,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
493 : Other passenger land transport,"46,900","47,900","49,400","50,000","47,500","49,100","44,700","48,300","48,000","54,800","52,800","54,900","59,200","61,200","61,000","65,100"
494 : Freight transport by road and removal services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
495 : Transport via pipeline,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
501 : Sea and coastal passenger water transport,900,700,500,500,500,400,400,400,500,700,300,300,300,300,300,200
502 : Sea and coastal freight water transport,"4,500","3,200","2,500","2,600","2,200","2,200","2,000","2,100","2,400","2,300","2,900","2,200","2,000","2,200","2,300","2,100"
503 : Inland passenger water transport,400,400,400,400,300,300,400,400,500,400,300,200,300,300,300,300
504 : Inland freight water transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511 : Passenger air transport,"33,200","33,300","34,600","43,500","41,600","40,500","41,700","44,900","45,100","43,900","42,200","41,900","34,200","36,300","37,700","35,900"
512 : Freight air transport and space transport,600,600,700,700,800,800,900,"1,000","1,100",900,"1,000",500,300,100,200,400
521 : Warehousing and storage,"10,400","11,000","9,700","9,300","8,800","9,000","8,300","8,000","7,500","7,900","8,400","7,600","9,000","13,200","13,000","13,200"
522 : Support activities for transportation,"39,000","41,100","40,900","42,900","43,900","43,200","51,400","56,600","53,300","54,900","60,600","53,500","50,900","44,300","50,100","43,100"
531 : Postal activities under universal service obligation,"44,600","44,600","46,000","39,200","40,200","35,900","30,000","29,300","32,200","30,500","31,200","29,000","24,500","23,200","23,100","22,500"
532 : Other postal and courier activities,"14,500","13,100","15,400","14,000","14,200","12,500","11,100","11,800","12,900","14,100","11,900","12,800","13,400","7,800","9,000","11,900"
551 : Hotels and similar accommodation,"44,400","46,500","49,000","45,600","47,100","46,500","45,500","47,700","52,100","52,300","53,000","51,000","43,400","59,100","56,500","56,300"
552 : Holiday and other short stay accommodation,800,"1,300","1,300","1,400","1,500","1,500","1,600","1,700","1,600","1,800","1,900","1,500","1,000","1,600","1,300","1,500"
"553 : Camping grounds, recreational vehicle parks and trailer parks",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
559 : Other accommodation,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
561 : Restaurants and mobile food service activities,"104,400","113,800","114,700","122,100","128,600","136,100","139,500","140,200","138,600","137,600","149,100","134,900","154,000","140,100","163,200","173,900"
562 : Event catering and other food service activities,"41,000","42,100","50,500","49,900","55,400","54,900","52,500","51,800","52,900","53,400","56,600","49,600","52,800","55,200","60,600","64,000"
563 : Beverage serving activities,"48,600","60,900","53,500","58,100","54,000","56,900","57,200","57,600","53,900","52,700","51,500","63,700","55,800","48,300","44,500","48,100"
"581 : Publishing of books, periodicals and other publishing activities","52,700","54,800","53,300","57,600","57,100","57,900","56,400","53,900","54,300","53,000","52,700","59,600","49,100","48,800","50,900","48,200"
582 : Software publishing,"1,600","1,800","2,100","2,300","2,200","2,700","2,600","2,700","2,300","2,100","2,400","3,500","2,600","2,900","3,400","3,300"
"591 : Motion picture, video and television programme activities","39,100","43,600","39,800","47,900","48,300","46,000","47,200","46,900","43,600","48,900","48,200","46,000","40,000","50,800","41,500","46,300"
592 : Sound recording and music publishing activities,"2,500","3,300","3,100","3,400","3,700","3,600","3,700","4,000","3,800","3,600","4,400","3,700","3,100","5,100","4,200","5,700"
601 : Radio broadcasting,"2,600","3,000","2,900","3,500","3,600","3,400","3,300","3,300","3,000","3,300","3,300","3,600","3,600","3,600","6,000","7,300"
602 : Television programming and broadcasting activities,"9,900","11,100","11,000","13,200","13,500","12,700","12,500","12,500","11,300","11,200","13,700","13,100","14,200","14,300","21,000","23,300"
611 : Wired telecommunications activities,"1,500","1,600","1,700","1,500","1,600","1,500","1,400","1,400","1,400","1,400","1,300","1,100",900,"1,400","1,400","2,500"
612 : Wireless telecommunications activities,"1,300","1,300","1,400","1,300","1,400","1,300","1,200","1,200","1,200","1,000","1,300","1,300","1,200","1,600","2,100","4,000"
613 : Satellite telecommunications activities,400,400,500,400,400,400,400,400,400,700,100,600,600,700,700,"1,000"
619 : Other telecommunications activities,"46,100","47,600","50,800","46,800","47,900","45,600","42,300","42,700","42,600","41,200","40,300","37,600","34,300","32,200","34,800","42,000"
"620 : Computer programming, consultancy and related activities","71,000","85,500","104,300","107,900","98,600","92,100","88,200","93,800","105,300","111,000","129,500","117,900","129,600","142,700","128,000","142,800"
"631 : Data processing, hosting and related activities; web portals","14,500","14,900","20,300","17,000","9,600","8,100","9,500","10,300","11,300","10,600","9,200","6,700","10,000","8,100","10,500","11,300"
639 : Other information service activities,"8,700","9,400","8,600","10,700","10,600","10,200","9,900","10,100","10,700","10,200","11,800","7,100","9,600","8,900","10,100","7,000"
641 : Monetary intermediation,"158,600","167,300","170,800","170,500","164,100","154,400","144,000","131,900","132,000","137,000","146,500","139,200","142,600","144,600","144,500","147,900"
642 : Activities of holding companies,"7,900","7,400","7,700","7,900","7,900","10,800","11,500","11,200","9,200","12,400","5,200","3,300","2,000",900,800,700
"643 : Trusts, funds and similar financial entities","12,800","10,000","11,200","11,100","11,800","12,900","12,800","12,500","13,700","12,200","14,400","4,900","6,200","7,700","8,000","8,100"
"649 : Other financial service activities, except insurance and pension funding","37,200","30,000","29,600","32,200","31,200","33,100","30,400","33,100","33,600","31,200","30,600","20,200","16,300","19,600","22,500","23,400"
651 : Insurance,"29,300","24,600","27,000","27,900","28,000","28,700","21,400","19,700","20,500","21,100","19,000","20,300","17,800","18,000","16,600","16,000"
652 : Reinsurance,600,500,500,500,500,600,400,400,400,400,400,600,600,600,500,700
653 : Pension funding,"1,500","1,000",700,0,0,0,0,0,0,0,0,0,0,0,0,0
"661 : Activities auxiliary to financial services, except insurance and pension funding","31,300","36,000","44,200","50,900","50,200","53,600","55,900","58,200","63,600","63,400","68,900","68,800","61,800","86,300","90,600","72,700"
662 : Activities auxiliary to insurance and pension funding,"39,100","43,800","40,000","39,700","37,600","37,400","36,600","37,800","37,800","44,000","50,400","56,000","61,600","52,700","53,200","54,500"
663 : Fund management activities,"8,900","13,600","14,600","15,200","15,600","16,500","17,000","18,000","20,000","22,200","20,100","21,400","23,900","20,900","22,000","22,500"
681 : Buying and selling of own real estate,"2,000","2,300","2,500","2,500","2,200","2,200","1,700","1,800","2,100","1,900","2,500","2,000","1,800","2,900","2,500","2,700"
682 : Renting and operating of own or leased real estate,"27,100","31,900","35,800","32,700","31,400","31,200","31,400","32,900","33,700","32,700","36,400","38,800","38,400","38,600","35,700","39,400"
683 : Real estate activities on a fee or contract basis,"28,600","27,200","29,500","32,300","30,100","30,800","31,300","34,600","38,900","43,400","46,800","54,500","58,300","58,000","75,000","66,100"
691 : Legal activities,"70,100","73,400","76,600","80,200","80,300","79,600","82,300","80,900","86,300","92,100","85,700","83,000","78,800","90,100","79,600","86,200"
"692 : Accounting, bookkeeping and auditing activities; tax consultancy","56,900","70,600","74,800","70,500","62,500","64,700","66,100","70,200","71,500","82,300","72,500","80,900","75,100","73,700","83,200","89,800"
701 : Activities of head offices,"18,700","18,900","18,300","19,200","19,600","26,600","29,400","28,900","23,500","16,500","30,600","48,000","45,800","56,400","66,600","68,100"
702 : Management consultancy activities,"58,200","64,400","71,400","75,600","78,000","80,700","85,500","98,000","105,800","116,400","119,000","115,600","121,700","99,000","102,500","135,700"
